,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
74,CellCandidateHeuristic.MAX,,1,74,288,1,0,144921.49101457832
75,CellCandidateHeuristic.MAX,,1,75,294,1,0,135725.25104670582
76,CellCandidateHeuristic.MAX,,1,76,299,1,0,129271.59418340198
77,CellCandidateHeuristic.MAX,,1,77,304,1,0,121668.9453532788
78,CellCandidateHeuristic.MAX,,1,78,308,1,0,114805.18204970933
79,CellCandidateHeuristic.MAX,,1,79,312,1,0,110728.3595497094
80,CellCandidateHeuristic.MAX,,1,80,316,1,0,106008.11769168335
81,CellCandidateHeuristic.MAX,,1,81,319,1,0,103221.96972420321
82,CellCandidateHeuristic.MAX,,1,82,323,1,0,99182.77230258529
83,CellCandidateHeuristic.MAX,,1,83,329,1,0,94362.0977456528
84,CellCandidateHeuristic.MAX,,1,84,333,1,0,90924.86015725989
85,CellCandidateHeuristic.MAX,,1,85,337,1,0,86888.21269630213
86,CellCandidateHeuristic.MAX,,1,86,341,1,0,83869.27592970442
87,CellCandidateHeuristic.MAX,,1,87,345,1,0,79759.93505786388
88,CellCandidateHeuristic.MAX,,1,88,348,1,0,77163.39261466282
89,CellCandidateHeuristic.MAX,,1,89,352,1,0,73702.59902543976
90,CellCandidateHeuristic.MAX,,1,90,356,1,0,70517.05159500682
91,CellCandidateHeuristic.MAX,,1,91,360,1,0,67370.72811744004
92,CellCandidateHeuristic.MAX,,1,92,365,1,0,63394.520063055184
93,CellCandidateHeuristic.MAX,,1,93,368,1,0,60583.20669319412
94,CellCandidateHeuristic.MAX,,1,94,371,1,0,58425.962682431986
95,CellCandidateHeuristic.MAX,,1,95,374,1,0,56825.13268243261
96,CellCandidateHeuristic.MAX,,1,96,377,1,0,54934.328004833136
97,CellCandidateHeuristic.MAX,,1,97,380,1,0,53547.5780048338
98,CellCandidateHeuristic.MAX,,1,98,384,1,0,51019.840186142406
99,CellCandidateHeuristic.MAX,,1,99,387,1,0,49198.05643614715
100,CellCandidateHeuristic.MAX,,1,100,391,1,0,46967.95064929417
101,CellCandidateHeuristic.MAX,,1,101,395,1,0,44312.62655260538
102,CellCandidateHeuristic.MAX,,1,102,398,1,0,43039.54655260543
103,CellCandidateHeuristic.MAX,,1,103,406,1,0,39298.42155261666
104,CellCandidateHeuristic.MAX,,1,104,409,1,0,37881.91761180435
105,CellCandidateHeuristic.MAX,,1,105,417,1,0,34173.47520947241
106,CellCandidateHeuristic.MAX,,1,106,423,1,0,31594.760687216498
107,CellCandidateHeuristic.MAX,,1,107,429,1,0,28991.53277291874
108,CellCandidateHeuristic.MAX,,1,108,433,1,0,27505.430272918846
109,CellCandidateHeuristic.MAX,,1,109,436,1,0,26553.740231896893
110,CellCandidateHeuristic.MAX,,1,110,440,1,0,25402.685451371166
111,CellCandidateHeuristic.MAX,,1,111,443,1,0,24417.15057123814
112,CellCandidateHeuristic.MAX,,1,112,446,1,0,23690.187237904818
113,CellCandidateHeuristic.MAX,,1,113,452,1,0,22310.020571238154
114,CellCandidateHeuristic.MAX,,1,114,459,1,0,20053.88904079853
115,CellCandidateHeuristic.MAX,,1,115,467,1,0,17777.982968757828
116,CellCandidateHeuristic.MAX,,1,116,470,1,0,17049.152179537577
117,CellCandidateHeuristic.MAX,,1,117,474,1,0,16267.516717198298
118,CellCandidateHeuristic.MAX,,1,118,478,1,0,15689.114217198367
119,CellCandidateHeuristic.MAX,,1,119,481,1,0,15087.030883865038
120,CellCandidateHeuristic.MAX,,1,120,486,1,0,14342.158306263322
121,CellCandidateHeuristic.MAX,,1,121,491,1,0,13507.246479757454
122,CellCandidateHeuristic.MAX,,1,122,496,1,0,12781.960386611501
123,CellCandidateHeuristic.MAX,,1,123,501,1,0,11964.181975911093
