,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,41,37.72537396121884,30.779999999999998,41.65625195374389,7797,39.632449560084794,7736,41.65625195374389,41,er,0.3,0.32105263157894737
1,4,123,154.4258399912524,117.73349999999999,132.46857940594492,6354,128.78764612527937,6417,132.46857940594492,41,er,0.3,0.32105263157894737
2,5,472,634.6089256061571,452.0966399999999,585.3683078659021,6767,556.775976343719,6673,585.3683078659021,41,er,0.3,0.32105263157894737
3,6,1780,2546.785819866815,1695.3623999999998,2366.6994938113307,6101,2357.584596199461,6231,2366.6994938113307,41,er,0.3,0.32105263157894737
4,7,6362,9811.827474434253,6103.304639999999,9085.92359454531,5090,8801.99583371657,5061,9085.92359454531,41,er,0.3,0.32105263157894737
5,8,21516,35832.53573064772,20827.527083999994,32638.41379573466,3899,31105.562004086016,3840,32638.41379573466,41,er,0.3,0.32105263157894737
6,9,68167,122710.7188530252,66648.08666879998,102748.13734650999,2619,102691.58868063,2621,102748.13734650999,41,er,0.3,0.32105263157894737
7,10,199521,390026.3321860101,197944.8174063359,316261.962583653,1662,316995.00558097835,1663,316261.962583653,41,er,0.3,0.32105263157894737
8,11,533134,1138354.366667302,539849.5020172797,831108.8008750974,919,814025.3813934852,908,831108.8008750974,41,er,0.3,0.32105263157894737
9,12,1285007,3015141.2369753676,1336127.5174927674,1933964.6586094406,463,2032458.856028472,483,1933964.6586094406,41,er,0.3,0.32105263157894737
10,13,2754526,7148448.212035527,2960036.3464455153,4108760.0129281203,211,4743239.988612373,236,4108760.0129281203,41,er,0.3,0.32105263157894737
11,14,5162004,14917682.716168875,5772070.875568755,7049297.519298519,77,6719375.2793457275,85,7049297.519298519,41,er,0.3,0.32105263157894737
12,15,8274628,26820423.241280463,9697079.070955507,14198842.966329094,33,14332908.205655983,34,14198842.966329094,41,er,0.3,0.32105263157894737
13,16,11023432,40362972.47659806,13636517.443531182,13330892.81207672,6,17541840.361110892,9,13330892.81207672,41,er,0.3,0.32105263157894737
14,17,11676549,48785462.70855692,15401243.230341097,6182541.25736361,1,26438350.49473224,3,6182541.25736361,41,er,0.3,0.32105263157894737
15,18,9117916,44377653.358573265,13091056.745789934,28499889.250392392,1,0.0,0,28499889.250392392,41,er,0.3,0.32105263157894737
16,19,4557108,26995381.378234595,7441232.255501647,0.0,0,0.0,0,26995381.378234595,41,er,0.3,0.32105263157894737
17,20,1042338,8233591.320361552,2120751.1928179692,0.0,0,0.0,0,8233591.320361552,41,er,0.3,0.32105263157894737
