,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,10,11.95668809305173,27.5,9.811487054085495,3078,11.353350253596915,3047,9.811487054085495,29,er,0.5,0.3787878787878788
1,4,25,30.571077510643626,92.8125,28.003239319603065,3611,30.752626188231915,3576,28.003239319603065,29,er,0.5,0.3787878787878788
2,5,51,74.11170305610575,297.0,63.54460889646318,3142,65.0729670450273,3016,63.54460889646318,29,er,0.5,0.3787878787878788
3,6,89,163.7569196315468,866.25,112.93583204115332,1960,114.16075821228961,1960,112.93583204115332,29,er,0.5,0.3787878787878788
4,7,156,319.00698629522105,2227.5,198.61687437318363,1159,207.49195951773203,1230,198.61687437318363,29,er,0.5,0.3787878787878788
5,8,222,528.657411000603,4872.65625,273.9972633564219,676,284.3697898463227,711,273.9972633564219,29,er,0.5,0.3787878787878788
6,9,263,711.9965131321254,8662.5,279.20868987185276,267,322.6890393845586,315,279.20868987185276,29,er,0.5,0.3787878787878788
7,10,259,728.1782520669464,11694.375,271.56389630824066,89,345.30961607480026,114,271.56389630824066,29,er,0.5,0.3787878787878788
8,11,173,501.50017359982536,10631.25,175.3426911800957,16,228.48602786639574,28,175.3426911800957,29,er,0.5,0.3787878787878788
9,12,78,174.13200472216155,4872.65625,41.35423083314404,2,58.88144825127023,3,41.35423083314404,29,er,0.5,0.3787878787878788
