,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,28,30.07652280379553,27.5,27.589792577440996,5765,27.062231143209903,5775,27.589792577440996,6,er,0.5,0.5151515151515151
1,4,90,104.58427247683444,92.8125,95.16655649644832,5580,97.21579100600752,5812,95.16655649644832,6,er,0.5,0.5151515151515151
2,5,288,344.8111771357451,297.0,328.6574474259693,4829,327.0877921441835,4872,328.6574474259693,6,er,0.5,0.5151515151515151
3,6,817,1036.1750019988299,866.25,992.8405562565586,3448,942.3769082170015,3360,992.8405562565586,6,er,0.5,0.5151515151515151
4,7,1961,2745.19091438651,2227.5,2549.5305787389893,2053,2334.7484357954936,1910,2549.5305787389893,6,er,0.5,0.5151515151515151
5,8,3870,6187.07800780293,4872.65625,4979.543192547678,913,4595.7453801071815,867,4979.543192547678,6,er,0.5,0.5151515151515151
6,9,6037,11332.560391396612,8662.5,7286.2925610941675,307,6996.695194230196,306,7286.2925610941675,6,er,0.5,0.5151515151515151
7,10,6767,15762.561271669832,11694.375,8916.80387001578,93,8591.51886815054,83,8916.80387001578,6,er,0.5,0.5151515151515151
8,11,4656,14763.831494126014,10631.25,4592.294574243183,12,5399.309522045976,14,4592.294574243183,6,er,0.5,0.5151515151515151
9,12,1218,6971.809316670618,4872.65625,0.0,0,1461.1478740992,1,6971.809316670618,6,er,0.5,0.5151515151515151
