,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,15,16.798285889194982,27.5,15.8352076038964,4748,17.09852967712473,4659,15.8352076038964,39,er,0.5,0.42424242424242425
1,4,33,48.10418231905836,92.8125,38.01526190684641,3843,40.590643528355315,3833,38.01526190684641,39,er,0.5,0.42424242424242425
2,5,91,130.61014350871602,297.0,115.75108450870108,3526,120.68877471872605,3538,115.75108450870108,39,er,0.5,0.42424242424242425
3,6,210,323.22712282460026,866.25,279.779050878545,2413,298.83103122478855,2544,279.779050878545,39,er,0.5,0.42424242424242425
4,7,406,705.2228134354915,2227.5,562.6959048885005,1451,560.9345767510862,1452,562.6959048885005,39,er,0.5,0.42424242424242425
5,8,656,1308.9362825128442,4872.65625,863.3881410294126,697,824.3692779554517,647,863.3881410294126,39,er,0.5,0.42424242424242425
6,9,833,1974.4224059453004,8662.5,964.3132554361782,237,1052.673546314746,251,964.3132554361782,39,er,0.5,0.42424242424242425
7,10,778,2261.611119537344,11694.375,927.6101597264839,70,926.7230610078483,68,927.6101597264839,39,er,0.5,0.42424242424242425
8,11,482,1744.4934255384471,10631.25,519.7086910931853,13,323.9599070741802,7,519.7086910931853,39,er,0.5,0.42424242424242425
9,12,157,678.4141099316184,4872.65625,238.10411947524716,2,111.45125560319997,1,238.10411947524716,39,er,0.5,0.42424242424242425
