,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,16,18.38094182825485,30.779999999999998,16.26551377952976,4464,17.47002006447875,4333,16.26551377952976,44,er,0.3,0.25263157894736843
1,4,46,59.205981046799835,117.73349999999999,53.09988077296643,4639,57.498269701373495,4687,53.09988077296643,44,er,0.3,0.25263157894736843
2,5,152,191.45344607975693,452.0966399999999,200.38333763469126,5139,210.04121009746783,5103,200.38333763469126,44,er,0.3,0.25263157894736843
3,6,432,604.5898297255482,1695.3623999999998,624.1624994058297,4564,646.668273816876,4610,624.1624994058297,44,er,0.3,0.25263157894736843
4,7,1217,1832.8617995890306,6103.304639999999,1873.2145201998505,3718,1900.9088628742572,3741,1873.2145201998505,44,er,0.3,0.25263157894736843
5,8,3158,5267.066013555846,20827.527083999994,4968.518367710817,2627,5137.6581793251025,2718,4968.518367710817,44,er,0.3,0.25263157894736843
6,9,7481,14193.356836529438,66648.08666879998,12291.266248223918,1726,12020.592535143738,1760,12291.266248223918,44,er,0.3,0.25263157894736843
7,10,16486,35498.33246694099,197944.8174063359,27920.128581874134,1066,27393.221168873853,1089,27920.128581874134,44,er,0.3,0.25263157894736843
8,11,32909,81527.27073747215,539849.5020172797,57490.15116838335,584,51135.158156785044,541,57490.15116838335,44,er,0.3,0.25263157894736843
9,12,58508,169919.99585283667,1336127.5174927674,107558.29523751866,296,93228.55882600101,271,107558.29523751866,44,er,0.3,0.25263157894736843
10,13,91602,317000.54287039326,2960036.3464455153,181252.14774015636,126,123104.83106430262,97,181252.14774015636,44,er,0.3,0.25263157894736843
11,14,122750,520548.2598713827,5772070.875568755,227768.68164640173,38,146352.73300075388,36,227768.68164640173,44,er,0.3,0.25263157894736843
12,15,133967,736438.8013338299,9697079.070955507,273942.8013614071,12,192540.62528122056,12,273942.8013614071,44,er,0.3,0.25263157894736843
13,16,112371,872098.5805269037,13636517.443531182,121436.09503835521,1,118633.69939813492,2,121436.09503835521,44,er,0.3,0.25263157894736843
14,17,66440,829438.6499624299,15401243.230341097,0.0,0,0.0,0,829438.6499624299,44,er,0.3,0.25263157894736843
15,18,23773,593703.4547099499,13091056.745789934,0.0,0,0.0,0,593703.4547099499,44,er,0.3,0.25263157894736843
16,19,3616,284188.2464650397,7441232.255501647,0.0,0,0.0,0,284188.2464650397,44,er,0.3,0.25263157894736843
17,20,0,68205.17915160954,2120751.1928179692,0.0,0,0.0,0,68205.17915160954,44,er,0.3,0.25263157894736843
