,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,14,13.44964799510254,27.5,13.440501041361177,4019,15.576882871266312,4076,13.440501041361177,32,er,0.5,0.3939393939393939
1,4,32,35.76383671424993,92.8125,34.55831089933252,3516,38.39431941547113,3554,34.55831089933252,32,er,0.5,0.3939393939393939
2,5,68,90.168218625018,297.0,82.46764414480062,2765,86.4413607570048,2734,82.46764414480062,32,er,0.5,0.3939393939393939
3,6,125,207.20474482011716,866.25,160.02040467022462,2065,160.3945411071739,1992,160.02040467022462,32,er,0.5,0.3939393939393939
4,7,207,419.7914310641334,2227.5,268.5745828738144,1329,271.5864333847308,1353,268.5745828738144,32,er,0.5,0.3939393939393939
5,8,303,723.5041709628056,4872.65625,383.8476648760435,775,399.9650119601428,761,383.8476648760435,32,er,0.5,0.3939393939393939
6,9,387,1013.3930475438624,8662.5,444.49341643986895,352,470.34696264010563,365,444.49341643986895,32,er,0.5,0.3939393939393939
7,10,428,1077.8816960239262,11694.375,612.9582962086199,141,509.47951627382406,135,612.9582962086199,32,er,0.5,0.3939393939393939
8,11,336,772.0364764909664,10631.25,368.92350694819925,33,296.5882847485695,28,368.92350694819925,32,er,0.5,0.3939393939393939
9,12,138,278.7909498439601,4872.65625,168.89157077706682,5,63.23475495217016,2,168.89157077706682,32,er,0.5,0.3939393939393939
