,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,37,35.70247933884296,27.5,36.95855513600679,6980,34.5366652430905,6900,36.95855513600679,4,er,0.5,0.5454545454545454
1,4,120,131.45003756574002,92.8125,128.08140450520483,6281,120.75523096502594,6161,128.08140450520483,4,er,0.5,0.5454545454545454
2,5,385,458.88013113858324,297.0,430.67044534011404,4891,411.6854770574047,4853,430.67044534011404,4,er,0.5,0.5454545454545454
3,6,1131,1460.0731445318554,866.25,1368.1491643892514,3438,1333.1546250593633,3444,1368.1491643892514,4,er,0.5,0.5454545454545454
4,7,2922,4095.7896002452057,2227.5,3606.6736844974444,1989,3694.032204590829,2093,3606.6736844974444,4,er,0.5,0.5454545454545454
5,8,6357,9774.043364221512,4872.65625,8043.123741765117,955,8012.7789818361525,1012,8043.123741765117,4,er,0.5,0.5454545454545454
6,9,11037,18955.720463944752,8662.5,13476.091379257176,351,14893.101574040253,398,13476.091379257176,4,er,0.5,0.5454545454545454
7,10,14247,27916.6065014459,11694.375,16751.73372997112,97,17603.79379453015,110,16751.73372997112,4,er,0.5,0.5454545454545454
8,11,11928,27685.890745235603,10631.25,14712.789482282744,18,16714.58500827631,24,14712.789482282744,4,er,0.5,0.5454545454545454
9,12,4721,13842.945372617802,4872.65625,0.0,0,14812.93301077999,5,13842.945372617802,4,er,0.5,0.5454545454545454
