,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,45,16.083731304870028,0.0,36.948890321882125,10994,,10817,36.948890321882125,47,karate,0.0,0.13903743315508021
1,4,154,51.992596651304446,0.0,157.52562331506175,12116,,12526,157.52562331506175,47,karate,0.0,0.13903743315508021
2,5,374,173.49401235515495,0.0,467.89210051540584,8013,,8032,467.89210051540584,47,karate,0.0,0.13903743315508021
3,6,969,582.9522518528825,0.0,1632.2227655633726,5170,,5049,1632.2227655633726,47,karate,0.0,0.13903743315508021
4,7,2746,1945.2524339903673,0.0,5585.795612762305,3583,,3356,5585.795612762305,47,karate,0.0,0.13903743315508021
5,8,7507,6389.6861367838665,0.0,16186.987782875669,2357,,2393,16186.987782875669,47,karate,0.0,0.13903743315508021
6,9,17625,20532.03958866735,0.0,38839.677343496696,1391,,1452,38839.677343496696,47,karate,0.0,0.13903743315508021
7,10,35127,64231.24684155294,0.0,90294.74744377207,775,,805,90294.74744377207,47,karate,0.0,0.13903743315508021
8,11,59890,194848.31321890635,0.0,150559.16108002854,357,,350,150559.16108002854,47,karate,0.0,0.13903743315508021
9,12,89849,571172.9965926765,0.0,187518.4851568148,159,,159,187518.4851568148,47,karate,0.0,0.13903743315508021
10,13,120823,1612723.755085204,0.0,231144.05736906207,66,,53,231144.05736906207,47,karate,0.0,0.13903743315508021
11,14,138689,4372464.940257746,0.0,122182.84108631709,15,,7,122182.84108631709,47,karate,0.0,0.13903743315508021
12,15,125021,11348144.301275006,0.0,170753.8945536833,4,,1,170753.8945536833,47,karate,0.0,0.13903743315508021
13,16,82339,28104862.724748593,0.0,0.0,0,0.0,0,28104862.724748593,47,karate,0.0,0.13903743315508021
14,17,37264,66199815.06225778,0.0,0.0,0,0.0,0,66199815.06225778,47,karate,0.0,0.13903743315508021
15,18,10751,147779385.13897952,0.0,0.0,0,0.0,0,147779385.13897952,47,karate,0.0,0.13903743315508021
16,19,1733,311447237.80486304,0.0,0.0,0,0.0,0,311447237.80486304,47,karate,0.0,0.13903743315508021
17,20,120,617065249.2336992,0.0,0.0,0,0.0,0,617065249.2336992,47,karate,0.0,0.13903743315508021
18,21,0,1143935577.902045,0.0,0.0,0,0.0,0,1143935577.902045,47,karate,0.0,0.13903743315508021
19,22,0,1973664251.8105772,0.0,0.0,0,0.0,0,1973664251.8105772,47,karate,0.0,0.13903743315508021
20,23,0,3149786427.441944,0.0,0.0,0,0.0,0,3149786427.441944,47,karate,0.0,0.13903743315508021
21,24,0,4616598734.338928,0.0,0.0,0,0.0,0,4616598734.338928,47,karate,0.0,0.13903743315508021
22,25,0,6162048364.122976,0.0,0.0,0,0.0,0,6162048364.122976,47,karate,0.0,0.13903743315508021
23,26,0,7414229315.121227,0.0,0.0,0,0.0,0,7414229315.121227,47,karate,0.0,0.13903743315508021
24,27,0,7941404661.551912,0.0,0.0,0,0.0,0,7941404661.551912,47,karate,0.0,0.13903743315508021
25,28,0,7453029508.568772,0.0,0.0,0,0.0,0,7453029508.568772,47,karate,0.0,0.13903743315508021
26,29,0,6003103981.823419,0.0,0.0,0,0.0,0,6003103981.823419,47,karate,0.0,0.13903743315508021
27,30,0,4034171481.546219,0.0,0.0,0,0.0,0,4034171481.546219,47,karate,0.0,0.13903743315508021
28,31,0,2171229087.877213,0.0,0.0,0,0.0,0,2171229087.877213,47,karate,0.0,0.13903743315508021
29,32,0,877344908.838085,0.0,0.0,0,0.0,0,877344908.838085,47,karate,0.0,0.13903743315508021
30,33,0,236574611.61992767,0.0,0.0,0,0.0,0,236574611.61992767,47,karate,0.0,0.13903743315508021
31,34,0,31925293.60960962,0.0,0.0,0,0.0,0,31925293.60960962,47,karate,0.0,0.13903743315508021
