,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,69,63,0,34,False,0
1,triangulation,20,0.5,48,69,65,0,36,False,1
2,triangulation,20,0.5,50,69,66,0,35,False,2
3,triangulation,20,0.5,49,69,63,0,33,False,3
4,triangulation,20,0.5,50,69,68,0,37,False,4
5,triangulation,20,0.5,46,69,64,0,37,False,5
6,triangulation,20,0.5,51,69,68,0,36,False,6
7,triangulation,20,0.5,46,69,65,0,38,False,7
8,triangulation,20,0.5,49,69,59,0,29,False,8
9,triangulation,20,0.5,51,69,64,1,33,False,9
10,triangulation,20,0.5,48,69,63,0,34,False,10
11,triangulation,20,0.5,51,69,65,0,33,False,11
12,triangulation,20,0.5,50,69,64,0,33,False,12
13,triangulation,20,0.5,49,69,66,0,36,False,13
14,triangulation,20,0.5,47,69,63,0,35,False,14
15,triangulation,20,0.5,50,69,64,0,33,False,15
16,triangulation,20,0.5,47,69,62,0,34,False,16
17,triangulation,20,0.5,50,69,64,0,33,False,17
18,triangulation,20,0.5,50,69,67,0,36,False,18
19,triangulation,20,0.5,50,69,60,0,29,False,19
20,triangulation,20,0.5,51,69,66,0,34,False,20
21,triangulation,20,0.5,47,69,67,0,39,False,21
22,triangulation,20,0.5,50,69,64,0,33,False,22
23,triangulation,20,0.5,47,69,67,0,39,False,23
24,triangulation,20,0.5,50,69,66,0,35,False,24
25,triangulation,20,0.5,49,69,63,0,33,False,25
26,triangulation,20,0.5,49,69,61,1,32,False,26
27,triangulation,20,0.5,48,69,65,0,36,False,27
28,triangulation,20,0.5,50,69,62,0,31,False,28
29,triangulation,20,0.5,50,69,68,0,37,False,29
30,triangulation,20,0.5,50,69,67,0,36,False,30
31,triangulation,20,0.5,48,69,66,0,37,False,31
32,triangulation,20,0.5,50,69,64,0,33,False,32
33,triangulation,20,0.5,51,69,63,0,31,False,33
34,triangulation,20,0.5,47,69,65,0,37,False,34
35,triangulation,20,0.5,50,69,66,0,35,False,35
36,triangulation,20,0.5,48,69,58,0,29,False,36
37,triangulation,20,0.5,48,69,63,0,34,False,37
38,triangulation,20,0.5,50,69,59,0,28,False,38
39,triangulation,20,0.5,52,69,66,0,33,False,39
40,triangulation,20,0.5,48,69,60,0,31,False,40
41,triangulation,20,0.5,49,69,62,0,32,False,41
42,triangulation,20,0.5,51,69,65,0,33,False,42
43,triangulation,20,0.5,49,69,60,0,30,False,43
44,triangulation,20,0.5,48,69,63,0,34,False,44
45,triangulation,20,0.5,51,69,65,0,33,False,45
46,triangulation,20,0.5,51,69,59,0,27,False,46
47,triangulation,20,0.5,48,69,66,1,38,False,47
48,triangulation,20,0.5,49,69,65,0,35,False,48
49,triangulation,20,0.5,50,69,67,0,36,False,49
