,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,73,66,0,37,False,0
1,triangulation,20,0.5,48,73,68,0,39,False,1
2,triangulation,20,0.5,50,73,70,0,39,False,2
3,triangulation,20,0.5,49,73,65,0,35,False,3
4,triangulation,20,0.5,50,73,71,0,40,False,4
5,triangulation,20,0.5,46,73,66,0,39,False,5
6,triangulation,20,0.5,51,73,72,0,40,False,6
7,triangulation,20,0.5,46,73,67,0,40,False,7
8,triangulation,20,0.5,49,73,63,0,33,False,8
9,triangulation,20,0.5,51,73,67,0,35,False,9
10,triangulation,20,0.5,48,73,66,0,37,False,10
11,triangulation,20,0.5,51,73,68,0,36,False,11
12,triangulation,20,0.5,50,73,67,0,36,False,12
13,triangulation,20,0.5,49,73,70,0,40,False,13
14,triangulation,20,0.5,47,73,67,0,39,False,14
15,triangulation,20,0.5,50,73,68,0,37,False,15
16,triangulation,20,0.5,47,73,66,0,38,False,16
17,triangulation,20,0.5,50,73,67,0,36,False,17
18,triangulation,20,0.5,50,73,70,0,39,False,18
19,triangulation,20,0.5,50,73,64,0,33,False,19
20,triangulation,20,0.5,51,73,68,0,36,False,20
21,triangulation,20,0.5,47,73,70,0,42,False,21
22,triangulation,20,0.5,50,73,68,0,37,False,22
23,triangulation,20,0.5,47,73,71,0,43,False,23
24,triangulation,20,0.5,50,73,70,0,39,False,24
25,triangulation,20,0.5,49,73,65,0,35,False,25
26,triangulation,20,0.5,49,73,65,1,36,False,26
27,triangulation,20,0.5,48,73,69,0,40,False,27
28,triangulation,20,0.5,50,73,64,0,33,False,28
29,triangulation,20,0.5,50,73,72,0,41,False,29
30,triangulation,20,0.5,50,73,71,0,40,False,30
31,triangulation,20,0.5,48,73,69,0,40,False,31
32,triangulation,20,0.5,50,73,68,0,37,False,32
33,triangulation,20,0.5,51,73,66,0,34,False,33
34,triangulation,20,0.5,47,73,69,0,41,False,34
35,triangulation,20,0.5,50,73,70,0,39,False,35
36,triangulation,20,0.5,48,73,61,0,32,False,36
37,triangulation,20,0.5,48,73,66,0,37,False,37
38,triangulation,20,0.5,50,73,62,0,31,False,38
39,triangulation,20,0.5,52,73,69,0,36,False,39
40,triangulation,20,0.5,48,73,63,0,34,False,40
41,triangulation,20,0.5,49,73,66,0,36,False,41
42,triangulation,20,0.5,51,73,68,0,36,False,42
43,triangulation,20,0.5,49,73,64,0,34,False,43
44,triangulation,20,0.5,48,73,66,0,37,False,44
45,triangulation,20,0.5,51,73,67,0,35,False,45
46,triangulation,20,0.5,51,73,63,0,31,False,46
47,triangulation,20,0.5,48,73,69,1,41,False,47
48,triangulation,20,0.5,49,73,68,0,38,False,48
49,triangulation,20,0.5,50,73,71,0,40,False,49
