,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,48,45,0,16,False,0
1,triangulation,20,0.5,48,48,45,0,16,False,1
2,triangulation,20,0.5,50,48,45,1,15,False,2
3,triangulation,20,0.5,49,48,44,0,14,False,3
4,triangulation,20,0.5,50,48,47,0,16,False,4
5,triangulation,20,0.5,46,48,45,0,18,False,5
6,triangulation,20,0.5,51,48,47,0,15,False,6
7,triangulation,20,0.5,46,48,47,0,20,False,7
8,triangulation,20,0.5,49,48,46,0,16,False,8
9,triangulation,20,0.5,51,48,46,1,15,False,9
10,triangulation,20,0.5,48,48,46,0,17,False,10
11,triangulation,20,0.5,51,48,45,0,13,False,11
12,triangulation,20,0.5,50,48,46,0,15,False,12
13,triangulation,20,0.5,49,48,46,0,16,False,13
14,triangulation,20,0.5,47,48,45,2,19,False,14
15,triangulation,20,0.5,50,48,45,0,14,False,15
16,triangulation,20,0.5,47,48,44,2,18,False,16
17,triangulation,20,0.5,50,48,47,1,17,False,17
18,triangulation,20,0.5,50,48,47,0,16,False,18
19,triangulation,20,0.5,50,48,47,0,16,False,19
20,triangulation,20,0.5,51,48,46,1,15,False,20
21,triangulation,20,0.5,47,48,47,1,20,False,21
22,triangulation,20,0.5,50,48,46,0,15,False,22
23,triangulation,20,0.5,47,48,47,1,20,False,23
24,triangulation,20,0.5,50,48,47,0,16,False,24
25,triangulation,20,0.5,49,48,46,0,16,False,25
26,triangulation,20,0.5,49,48,42,1,13,False,26
27,triangulation,20,0.5,48,48,45,0,16,False,27
28,triangulation,20,0.5,50,48,44,0,13,False,28
29,triangulation,20,0.5,50,48,48,1,18,False,29
30,triangulation,20,0.5,50,48,47,1,17,False,30
31,triangulation,20,0.5,48,48,46,1,18,False,31
32,triangulation,20,0.5,50,48,46,0,15,False,32
33,triangulation,20,0.5,51,48,46,0,14,False,33
34,triangulation,20,0.5,47,48,47,0,19,False,34
35,triangulation,20,0.5,50,48,48,0,17,False,35
36,triangulation,20,0.5,48,48,41,1,13,False,36
37,triangulation,20,0.5,48,48,45,0,16,False,37
38,triangulation,20,0.5,50,48,43,0,12,False,38
39,triangulation,20,0.5,52,48,47,0,14,False,39
40,triangulation,20,0.5,48,48,45,1,17,False,40
41,triangulation,20,0.5,49,48,45,0,15,False,41
42,triangulation,20,0.5,51,48,45,0,13,False,42
43,triangulation,20,0.5,49,48,44,0,14,False,43
44,triangulation,20,0.5,48,48,46,0,17,False,44
45,triangulation,20,0.5,51,48,45,1,14,False,45
46,triangulation,20,0.5,51,48,43,2,13,False,46
47,triangulation,20,0.5,48,48,47,1,19,False,47
48,triangulation,20,0.5,49,48,47,0,17,False,48
49,triangulation,20,0.5,50,48,47,0,16,False,49
