,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,30,29,1,1,False,0
1,triangulation,20,0.5,48,30,29,3,3,False,1
2,triangulation,20,0.5,50,30,28,5,2,False,2
3,triangulation,20,0.5,49,30,29,4,3,False,3
4,triangulation,20,0.5,50,30,30,3,2,False,4
5,triangulation,20,0.5,46,30,28,5,6,False,5
6,triangulation,20,0.5,51,30,29,5,2,False,6
7,triangulation,20,0.5,46,30,29,1,3,False,7
8,triangulation,20,0.5,49,30,30,3,3,False,8
9,triangulation,20,0.5,51,30,30,5,3,False,9
10,triangulation,20,0.5,48,30,29,2,2,False,10
11,triangulation,20,0.5,51,30,27,6,1,False,11
12,triangulation,20,0.5,50,30,29,2,0,False,12
13,triangulation,20,0.5,49,30,29,4,3,False,13
14,triangulation,20,0.5,47,30,28,2,2,False,14
15,triangulation,20,0.5,50,30,28,4,1,False,15
16,triangulation,20,0.5,47,30,29,5,6,False,16
17,triangulation,20,0.5,50,30,29,6,4,False,17
18,triangulation,20,0.5,50,30,30,2,1,False,18
19,triangulation,20,0.5,50,30,30,3,2,False,19
20,triangulation,20,0.5,51,30,30,5,3,False,20
21,triangulation,20,0.5,47,30,30,4,6,False,21
22,triangulation,20,0.5,50,30,29,5,3,False,22
23,triangulation,20,0.5,47,30,30,2,4,False,23
24,triangulation,20,0.5,50,30,30,2,1,False,24
25,triangulation,20,0.5,49,30,29,2,1,False,25
26,triangulation,20,0.5,49,30,27,4,1,False,26
27,triangulation,20,0.5,48,30,29,2,2,False,27
28,triangulation,20,0.5,50,30,30,5,4,False,28
29,triangulation,20,0.5,50,30,30,3,2,False,29
30,triangulation,20,0.5,50,30,30,4,3,False,30
31,triangulation,20,0.5,48,30,29,1,1,False,31
32,triangulation,20,0.5,50,30,30,3,2,False,32
33,triangulation,20,0.5,51,30,29,4,1,False,33
34,triangulation,20,0.5,47,30,30,4,6,False,34
35,triangulation,20,0.5,50,30,30,3,2,False,35
36,triangulation,20,0.5,48,30,26,5,2,False,36
37,triangulation,20,0.5,48,30,28,2,1,False,37
38,triangulation,20,0.5,50,30,27,4,0,False,38
39,triangulation,20,0.5,52,30,30,7,4,False,39
40,triangulation,20,0.5,48,30,29,3,3,False,40
41,triangulation,20,0.5,49,30,28,4,2,False,41
42,triangulation,20,0.5,51,30,29,3,0,False,42
43,triangulation,20,0.5,49,30,29,4,3,False,43
44,triangulation,20,0.5,48,30,29,4,4,False,44
45,triangulation,20,0.5,51,30,29,5,2,False,45
46,triangulation,20,0.5,51,30,29,9,6,False,46
47,triangulation,20,0.5,48,30,29,5,5,False,47
48,triangulation,20,0.5,49,30,30,3,3,False,48
49,triangulation,20,0.5,50,30,30,3,2,False,49
