,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,29,42,44,0,False,0
1,cellular_er,20,0.5,100,29,29,52,0,False,1
2,cellular_er,20,0.5,82,29,30,33,0,False,2
3,cellular_er,20,0.5,93,29,31,43,0,False,3
4,cellular_er,20,0.5,98,29,17,62,0,False,4
5,cellular_er,20,0.5,81,29,31,31,0,False,5
6,cellular_er,20,0.5,105,29,38,48,0,False,6
7,cellular_er,20,0.5,100,29,21,60,0,False,7
8,cellular_er,20,0.5,84,29,30,35,0,False,8
9,cellular_er,20,0.5,101,29,20,62,0,False,9
10,cellular_er,20,0.5,97,29,25,53,0,False,10
11,cellular_er,20,0.5,90,29,30,41,0,False,11
12,cellular_er,20,0.5,97,29,25,53,0,False,12
13,cellular_er,20,0.5,92,29,34,39,0,False,13
14,cellular_er,20,0.5,85,29,35,31,0,False,14
15,cellular_er,20,0.5,100,29,26,55,0,False,15
16,cellular_er,20,0.5,95,29,21,55,0,False,16
17,cellular_er,20,0.5,92,29,25,48,0,False,17
18,cellular_er,20,0.5,108,29,35,54,0,False,18
19,cellular_er,20,0.5,110,29,25,66,0,False,19
20,cellular_er,20,0.5,84,29,23,42,0,False,20
21,cellular_er,20,0.5,118,29,25,74,0,False,21
22,cellular_er,20,0.5,97,29,36,42,0,False,22
23,cellular_er,20,0.5,94,29,30,45,0,False,23
24,cellular_er,20,0.5,93,29,26,48,0,False,24
25,cellular_er,20,0.5,86,29,37,30,0,False,25
26,cellular_er,20,0.5,105,29,36,50,0,False,26
27,cellular_er,20,0.5,87,29,29,39,0,False,27
28,cellular_er,20,0.5,111,29,29,63,0,False,28
29,cellular_er,20,0.5,92,29,30,43,0,False,29
30,cellular_er,20,0.5,97,29,27,51,0,False,30
31,cellular_er,20,0.5,96,29,19,58,0,False,31
32,cellular_er,20,0.5,72,29,26,27,0,False,32
33,cellular_er,20,0.5,93,29,38,36,0,False,33
34,cellular_er,20,0.5,106,29,35,52,0,False,34
35,cellular_er,20,0.5,103,29,39,45,0,False,35
36,cellular_er,20,0.5,90,29,33,38,0,False,36
37,cellular_er,20,0.5,96,29,35,42,0,False,37
38,cellular_er,20,0.5,106,29,29,58,0,False,38
39,cellular_er,20,0.5,94,29,29,46,0,False,39
40,cellular_er,20,0.5,91,29,26,46,0,False,40
41,cellular_er,20,0.5,111,29,24,68,0,False,41
42,cellular_er,20,0.5,92,29,31,42,0,False,42
43,cellular_er,20,0.5,95,29,24,52,0,False,43
44,cellular_er,20,0.5,95,29,32,44,0,False,44
45,cellular_er,20,0.5,99,29,26,54,0,False,45
46,cellular_er,20,0.5,100,29,31,50,0,False,46
47,cellular_er,20,0.5,95,29,23,53,0,False,47
48,cellular_er,20,0.5,98,29,31,48,0,False,48
49,cellular_er,20,0.5,92,29,22,51,0,False,49
