,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,112,136,0,50,False,0
1,cellular_er,20,0.5,100,112,144,0,63,False,1
2,cellular_er,20,0.5,82,112,115,0,52,False,2
3,cellular_er,20,0.5,93,112,107,0,33,False,3
4,cellular_er,20,0.5,98,112,93,0,14,False,4
5,cellular_er,20,0.5,81,112,132,0,70,False,5
6,cellular_er,20,0.5,105,112,134,0,48,False,6
7,cellular_er,20,0.5,100,112,87,1,7,False,7
8,cellular_er,20,0.5,84,112,103,0,38,False,8
9,cellular_er,20,0.5,101,112,88,1,7,False,9
10,cellular_er,20,0.5,97,112,104,0,26,False,10
11,cellular_er,20,0.5,90,112,109,0,38,False,11
12,cellular_er,20,0.5,97,112,119,0,41,False,12
13,cellular_er,20,0.5,92,112,132,0,59,False,13
14,cellular_er,20,0.5,85,112,134,0,68,False,14
15,cellular_er,20,0.5,100,112,114,0,33,False,15
16,cellular_er,20,0.5,95,112,97,0,21,False,16
17,cellular_er,20,0.5,92,112,120,0,47,False,17
18,cellular_er,20,0.5,108,112,108,1,20,False,18
19,cellular_er,20,0.5,110,112,109,0,18,False,19
20,cellular_er,20,0.5,84,112,94,0,29,False,20
21,cellular_er,20,0.5,118,112,100,0,1,False,21
22,cellular_er,20,0.5,97,112,118,0,40,False,22
23,cellular_er,20,0.5,94,112,124,0,49,False,23
24,cellular_er,20,0.5,93,112,124,0,50,False,24
25,cellular_er,20,0.5,86,112,119,0,52,False,25
26,cellular_er,20,0.5,105,112,112,0,26,False,26
27,cellular_er,20,0.5,87,112,121,0,53,False,27
28,cellular_er,20,0.5,111,112,117,0,25,False,28
29,cellular_er,20,0.5,92,112,107,0,34,False,29
30,cellular_er,20,0.5,97,112,110,0,32,False,30
31,cellular_er,20,0.5,96,112,115,0,38,False,31
32,cellular_er,20,0.5,72,112,105,0,52,False,32
33,cellular_er,20,0.5,93,112,132,0,58,False,33
34,cellular_er,20,0.5,106,112,124,0,37,False,34
35,cellular_er,20,0.5,103,112,132,0,48,False,35
36,cellular_er,20,0.5,90,112,132,0,61,False,36
37,cellular_er,20,0.5,96,112,130,0,53,False,37
38,cellular_er,20,0.5,106,112,112,0,25,False,38
39,cellular_er,20,0.5,94,112,111,0,36,False,39
40,cellular_er,20,0.5,91,112,118,0,46,False,40
41,cellular_er,20,0.5,111,112,135,0,43,False,41
42,cellular_er,20,0.5,92,112,126,0,53,False,42
43,cellular_er,20,0.5,95,112,101,0,25,False,43
44,cellular_er,20,0.5,95,112,130,0,54,False,44
45,cellular_er,20,0.5,99,112,100,1,21,False,45
46,cellular_er,20,0.5,100,112,125,0,44,False,46
47,cellular_er,20,0.5,95,112,82,0,6,False,47
48,cellular_er,20,0.5,98,112,112,0,33,False,48
49,cellular_er,20,0.5,92,112,95,0,22,False,49
