,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,42,56,30,0,False,0
1,cellular_er,20,0.5,100,42,43,38,0,False,1
2,cellular_er,20,0.5,82,42,45,18,0,False,2
3,cellular_er,20,0.5,93,42,52,22,0,False,3
4,cellular_er,20,0.5,98,42,28,51,0,False,4
5,cellular_er,20,0.5,81,42,39,23,0,False,5
6,cellular_er,20,0.5,105,42,53,33,0,False,6
7,cellular_er,20,0.5,100,42,31,50,0,False,7
8,cellular_er,20,0.5,84,42,39,26,0,False,8
9,cellular_er,20,0.5,101,42,30,52,0,False,9
10,cellular_er,20,0.5,97,42,38,40,0,False,10
11,cellular_er,20,0.5,90,42,38,33,0,False,11
12,cellular_er,20,0.5,97,42,37,41,0,False,12
13,cellular_er,20,0.5,92,42,52,21,0,False,13
14,cellular_er,20,0.5,85,42,53,13,0,False,14
15,cellular_er,20,0.5,100,42,48,33,0,False,15
16,cellular_er,20,0.5,95,42,26,50,0,False,16
17,cellular_er,20,0.5,92,42,42,31,0,False,17
18,cellular_er,20,0.5,108,42,49,40,0,False,18
19,cellular_er,20,0.5,110,42,36,55,0,False,19
20,cellular_er,20,0.5,84,42,31,34,0,False,20
21,cellular_er,20,0.5,118,42,38,61,0,False,21
22,cellular_er,20,0.5,97,42,46,32,0,False,22
23,cellular_er,20,0.5,94,42,43,32,0,False,23
24,cellular_er,20,0.5,93,42,39,35,0,False,24
25,cellular_er,20,0.5,86,42,49,18,0,False,25
26,cellular_er,20,0.5,105,42,47,39,0,False,26
27,cellular_er,20,0.5,87,42,48,20,0,False,27
28,cellular_er,20,0.5,111,42,49,43,0,False,28
29,cellular_er,20,0.5,92,42,42,31,0,False,29
30,cellular_er,20,0.5,97,42,37,41,0,False,30
31,cellular_er,20,0.5,96,42,33,44,0,False,31
32,cellular_er,20,0.5,72,42,39,14,0,False,32
33,cellular_er,20,0.5,93,42,54,20,0,False,33
34,cellular_er,20,0.5,106,42,45,42,0,False,34
35,cellular_er,20,0.5,103,42,54,30,0,False,35
36,cellular_er,20,0.5,90,42,55,16,0,False,36
37,cellular_er,20,0.5,96,42,45,32,0,False,37
38,cellular_er,20,0.5,106,42,46,41,0,False,38
39,cellular_er,20,0.5,94,42,40,35,0,False,39
40,cellular_er,20,0.5,91,42,37,35,0,False,40
41,cellular_er,20,0.5,111,42,40,52,0,False,41
42,cellular_er,20,0.5,92,42,48,25,0,False,42
43,cellular_er,20,0.5,95,42,33,43,0,False,43
44,cellular_er,20,0.5,95,42,43,33,0,False,44
45,cellular_er,20,0.5,99,42,35,45,0,False,45
46,cellular_er,20,0.5,100,42,46,35,0,False,46
47,cellular_er,20,0.5,95,42,31,45,0,False,47
48,cellular_er,20,0.5,98,42,44,35,0,False,48
49,cellular_er,20,0.5,92,42,42,31,0,False,49
