,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,85,107,0,21,False,0
1,cellular_er,20,0.5,100,85,101,0,20,False,1
2,cellular_er,20,0.5,82,85,82,0,19,False,2
3,cellular_er,20,0.5,93,85,88,0,14,False,3
4,cellular_er,20,0.5,98,85,66,13,0,False,4
5,cellular_er,20,0.5,81,85,98,1,37,False,5
6,cellular_er,20,0.5,105,85,102,0,16,False,6
7,cellular_er,20,0.5,100,85,63,18,0,False,7
8,cellular_er,20,0.5,84,85,76,0,11,False,8
9,cellular_er,20,0.5,101,85,63,19,0,False,9
10,cellular_er,20,0.5,97,85,78,0,0,False,10
11,cellular_er,20,0.5,90,85,82,0,11,False,11
12,cellular_er,20,0.5,97,85,92,0,14,False,12
13,cellular_er,20,0.5,92,85,102,0,29,False,13
14,cellular_er,20,0.5,85,85,93,0,27,False,14
15,cellular_er,20,0.5,100,85,88,0,7,False,15
16,cellular_er,20,0.5,95,85,66,10,0,False,16
17,cellular_er,20,0.5,92,85,89,0,16,False,17
18,cellular_er,20,0.5,108,85,83,6,0,False,18
19,cellular_er,20,0.5,110,85,79,12,0,False,19
20,cellular_er,20,0.5,84,85,69,0,4,False,20
21,cellular_er,20,0.5,118,85,74,25,0,False,21
22,cellular_er,20,0.5,97,85,90,0,12,False,22
23,cellular_er,20,0.5,94,85,90,0,15,False,23
24,cellular_er,20,0.5,93,85,99,0,25,False,24
25,cellular_er,20,0.5,86,85,100,0,33,False,25
26,cellular_er,20,0.5,105,85,89,1,4,False,26
27,cellular_er,20,0.5,87,85,95,0,27,False,27
28,cellular_er,20,0.5,111,85,90,2,0,False,28
29,cellular_er,20,0.5,92,85,74,0,1,False,29
30,cellular_er,20,0.5,97,85,77,1,0,False,30
31,cellular_er,20,0.5,96,85,85,0,8,False,31
32,cellular_er,20,0.5,72,85,72,0,19,False,32
33,cellular_er,20,0.5,93,85,107,0,33,False,33
34,cellular_er,20,0.5,106,85,103,0,16,False,34
35,cellular_er,20,0.5,103,85,104,0,20,False,35
36,cellular_er,20,0.5,90,85,102,0,31,False,36
37,cellular_er,20,0.5,96,85,100,0,23,False,37
38,cellular_er,20,0.5,106,85,85,2,0,False,38
39,cellular_er,20,0.5,94,85,88,0,13,False,39
40,cellular_er,20,0.5,91,85,82,0,10,False,40
41,cellular_er,20,0.5,111,85,100,0,8,False,41
42,cellular_er,20,0.5,92,85,93,1,21,False,42
43,cellular_er,20,0.5,95,85,65,11,0,False,43
44,cellular_er,20,0.5,95,85,91,0,15,False,44
45,cellular_er,20,0.5,99,85,70,10,0,False,45
46,cellular_er,20,0.5,100,85,94,0,13,False,46
47,cellular_er,20,0.5,95,85,61,15,0,False,47
48,cellular_er,20,0.5,98,85,85,0,6,False,48
49,cellular_er,20,0.5,92,85,77,0,4,False,49
