,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,23,29,57,0,False,0
1,cellular_er,20,0.5,100,23,21,60,0,False,1
2,cellular_er,20,0.5,82,23,18,45,0,False,2
3,cellular_er,20,0.5,93,23,25,49,0,False,3
4,cellular_er,20,0.5,98,23,16,63,0,False,4
5,cellular_er,20,0.5,81,23,26,36,0,False,5
6,cellular_er,20,0.5,105,23,31,55,0,False,6
7,cellular_er,20,0.5,100,23,20,61,0,False,7
8,cellular_er,20,0.5,84,23,25,40,0,False,8
9,cellular_er,20,0.5,101,23,17,65,0,False,9
10,cellular_er,20,0.5,97,23,15,63,0,False,10
11,cellular_er,20,0.5,90,23,21,50,0,False,11
12,cellular_er,20,0.5,97,23,19,59,0,False,12
13,cellular_er,20,0.5,92,23,25,48,0,False,13
14,cellular_er,20,0.5,85,23,28,38,0,False,14
15,cellular_er,20,0.5,100,23,16,65,0,False,15
16,cellular_er,20,0.5,95,23,20,56,0,False,16
17,cellular_er,20,0.5,92,23,13,60,0,False,17
18,cellular_er,20,0.5,108,23,27,62,0,False,18
19,cellular_er,20,0.5,110,23,19,72,0,False,19
20,cellular_er,20,0.5,84,23,18,47,0,False,20
21,cellular_er,20,0.5,118,23,20,79,0,False,21
22,cellular_er,20,0.5,97,23,27,51,0,False,22
23,cellular_er,20,0.5,94,23,27,48,0,False,23
24,cellular_er,20,0.5,93,23,21,53,0,False,24
25,cellular_er,20,0.5,86,23,28,39,0,False,25
26,cellular_er,20,0.5,105,23,31,55,0,False,26
27,cellular_er,20,0.5,87,23,22,46,0,False,27
28,cellular_er,20,0.5,111,23,21,71,0,False,28
29,cellular_er,20,0.5,92,23,19,54,0,False,29
30,cellular_er,20,0.5,97,23,21,57,0,False,30
31,cellular_er,20,0.5,96,23,15,62,0,False,31
32,cellular_er,20,0.5,72,23,18,35,0,False,32
33,cellular_er,20,0.5,93,23,31,43,0,False,33
34,cellular_er,20,0.5,106,23,28,59,0,False,34
35,cellular_er,20,0.5,103,23,30,54,0,False,35
36,cellular_er,20,0.5,90,23,25,46,0,False,36
37,cellular_er,20,0.5,96,23,24,53,0,False,37
38,cellular_er,20,0.5,106,23,22,65,0,False,38
39,cellular_er,20,0.5,94,23,24,51,0,False,39
40,cellular_er,20,0.5,91,23,19,53,0,False,40
41,cellular_er,20,0.5,111,23,19,73,0,False,41
42,cellular_er,20,0.5,92,23,26,47,0,False,42
43,cellular_er,20,0.5,95,23,23,53,0,False,43
44,cellular_er,20,0.5,95,23,26,50,0,False,44
45,cellular_er,20,0.5,99,23,21,59,0,False,45
46,cellular_er,20,0.5,100,23,24,57,0,False,46
47,cellular_er,20,0.5,95,23,19,57,0,False,47
48,cellular_er,20,0.5,98,23,26,53,0,False,48
49,cellular_er,20,0.5,92,23,20,53,0,False,49
