,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,97,117,0,31,False,0
1,cellular_er,20,0.5,100,97,119,0,38,False,1
2,cellular_er,20,0.5,82,97,98,0,35,False,2
3,cellular_er,20,0.5,93,97,98,0,24,False,3
4,cellular_er,20,0.5,98,97,78,1,0,False,4
5,cellular_er,20,0.5,81,97,113,0,51,False,5
6,cellular_er,20,0.5,105,97,114,0,28,False,6
7,cellular_er,20,0.5,100,97,72,9,0,False,7
8,cellular_er,20,0.5,84,97,90,0,25,False,8
9,cellular_er,20,0.5,101,97,75,7,0,False,9
10,cellular_er,20,0.5,97,97,87,0,9,False,10
11,cellular_er,20,0.5,90,97,95,0,24,False,11
12,cellular_er,20,0.5,97,97,109,0,31,False,12
13,cellular_er,20,0.5,92,97,117,0,44,False,13
14,cellular_er,20,0.5,85,97,112,0,46,False,14
15,cellular_er,20,0.5,100,97,103,0,22,False,15
16,cellular_er,20,0.5,95,97,79,0,3,False,16
17,cellular_er,20,0.5,92,97,105,0,32,False,17
18,cellular_er,20,0.5,108,97,96,1,8,False,18
19,cellular_er,20,0.5,110,97,94,0,3,False,19
20,cellular_er,20,0.5,84,97,79,0,14,False,20
21,cellular_er,20,0.5,118,97,89,10,0,False,21
22,cellular_er,20,0.5,97,97,108,0,30,False,22
23,cellular_er,20,0.5,94,97,111,0,36,False,23
24,cellular_er,20,0.5,93,97,109,0,35,False,24
25,cellular_er,20,0.5,86,97,110,0,43,False,25
26,cellular_er,20,0.5,105,97,100,0,14,False,26
27,cellular_er,20,0.5,87,97,107,0,39,False,27
28,cellular_er,20,0.5,111,97,101,1,10,False,28
29,cellular_er,20,0.5,92,97,93,0,20,False,29
30,cellular_er,20,0.5,97,97,87,0,9,False,30
31,cellular_er,20,0.5,96,97,101,0,24,False,31
32,cellular_er,20,0.5,72,97,84,0,31,False,32
33,cellular_er,20,0.5,93,97,117,0,43,False,33
34,cellular_er,20,0.5,106,97,114,0,27,False,34
35,cellular_er,20,0.5,103,97,115,0,31,False,35
36,cellular_er,20,0.5,90,97,111,0,40,False,36
37,cellular_er,20,0.5,96,97,114,0,37,False,37
38,cellular_er,20,0.5,106,97,100,1,14,False,38
39,cellular_er,20,0.5,94,97,97,0,22,False,39
40,cellular_er,20,0.5,91,97,98,0,26,False,40
41,cellular_er,20,0.5,111,97,116,0,24,False,41
42,cellular_er,20,0.5,92,97,107,0,34,False,42
43,cellular_er,20,0.5,95,97,84,0,8,False,43
44,cellular_er,20,0.5,95,97,104,0,28,False,44
45,cellular_er,20,0.5,99,97,84,2,6,False,45
46,cellular_er,20,0.5,100,97,109,0,28,False,46
47,cellular_er,20,0.5,95,97,74,2,0,False,47
48,cellular_er,20,0.5,98,97,98,0,19,False,48
49,cellular_er,20,0.5,92,97,83,0,10,False,49
