,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,7,9,77,0,False,0
1,cellular_er,20,0.5,100,7,5,76,0,True,1
2,cellular_er,20,0.5,82,7,7,56,0,False,2
3,cellular_er,20,0.5,93,7,5,69,0,False,3
4,cellular_er,20,0.5,98,7,5,74,0,True,4
5,cellular_er,20,0.5,81,7,4,58,0,True,5
6,cellular_er,20,0.5,105,7,8,78,0,False,6
7,cellular_er,20,0.5,100,7,5,76,0,True,7
8,cellular_er,20,0.5,84,7,10,55,0,False,8
9,cellular_er,20,0.5,101,7,5,77,0,True,9
10,cellular_er,20,0.5,97,7,6,72,0,False,10
11,cellular_er,20,0.5,90,7,9,62,0,False,11
12,cellular_er,20,0.5,97,7,5,73,0,True,12
13,cellular_er,20,0.5,92,7,10,63,0,False,13
14,cellular_er,20,0.5,85,7,11,55,0,False,14
15,cellular_er,20,0.5,100,7,7,74,0,True,15
16,cellular_er,20,0.5,95,7,8,68,0,False,16
17,cellular_er,20,0.5,92,7,2,71,0,True,17
18,cellular_er,20,0.5,108,7,10,79,0,False,18
19,cellular_er,20,0.5,110,7,9,82,0,False,19
20,cellular_er,20,0.5,84,7,7,58,0,False,20
21,cellular_er,20,0.5,118,7,4,95,0,True,21
22,cellular_er,20,0.5,97,7,8,70,0,False,22
23,cellular_er,20,0.5,94,7,10,65,0,False,23
24,cellular_er,20,0.5,93,7,5,69,0,False,24
25,cellular_er,20,0.5,86,7,7,60,0,False,25
26,cellular_er,20,0.5,105,7,12,74,0,False,26
27,cellular_er,20,0.5,87,7,10,58,0,False,27
28,cellular_er,20,0.5,111,7,8,84,0,False,28
29,cellular_er,20,0.5,92,7,5,68,0,True,29
30,cellular_er,20,0.5,97,7,7,71,0,False,30
31,cellular_er,20,0.5,96,7,7,70,0,False,31
32,cellular_er,20,0.5,72,7,1,52,0,True,32
33,cellular_er,20,0.5,93,7,15,59,0,False,33
34,cellular_er,20,0.5,106,7,6,81,0,True,34
35,cellular_er,20,0.5,103,7,14,70,0,False,35
36,cellular_er,20,0.5,90,7,7,64,0,False,36
37,cellular_er,20,0.5,96,7,10,67,0,False,37
38,cellular_er,20,0.5,106,7,7,80,0,False,38
39,cellular_er,20,0.5,94,7,8,67,0,True,39
40,cellular_er,20,0.5,91,7,6,66,0,False,40
41,cellular_er,20,0.5,111,7,4,88,0,True,41
42,cellular_er,20,0.5,92,7,7,66,0,False,42
43,cellular_er,20,0.5,95,7,8,68,0,False,43
44,cellular_er,20,0.5,95,7,7,69,0,True,44
45,cellular_er,20,0.5,99,7,4,76,0,False,45
46,cellular_er,20,0.5,100,7,4,77,0,False,46
47,cellular_er,20,0.5,95,7,9,67,0,False,47
48,cellular_er,20,0.5,98,7,9,70,0,False,48
49,cellular_er,20,0.5,92,7,6,67,0,True,49
