,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,93,116,0,30,False,0
1,cellular_er,20,0.5,100,93,114,0,33,False,1
2,cellular_er,20,0.5,82,93,88,0,25,False,2
3,cellular_er,20,0.5,93,93,95,0,21,False,3
4,cellular_er,20,0.5,98,93,73,6,0,False,4
5,cellular_er,20,0.5,81,93,110,0,48,False,5
6,cellular_er,20,0.5,105,93,109,0,23,False,6
7,cellular_er,20,0.5,100,93,71,10,0,False,7
8,cellular_er,20,0.5,84,93,83,0,18,False,8
9,cellular_er,20,0.5,101,93,73,9,0,False,9
10,cellular_er,20,0.5,97,93,83,0,5,False,10
11,cellular_er,20,0.5,90,93,90,0,19,False,11
12,cellular_er,20,0.5,97,93,97,0,19,False,12
13,cellular_er,20,0.5,92,93,113,0,40,False,13
14,cellular_er,20,0.5,85,93,102,0,36,False,14
15,cellular_er,20,0.5,100,93,97,0,16,False,15
16,cellular_er,20,0.5,95,93,76,0,0,False,16
17,cellular_er,20,0.5,92,93,99,0,26,False,17
18,cellular_er,20,0.5,108,93,94,1,6,False,18
19,cellular_er,20,0.5,110,93,89,2,0,False,19
20,cellular_er,20,0.5,84,93,75,0,10,False,20
21,cellular_er,20,0.5,118,93,82,17,0,False,21
22,cellular_er,20,0.5,97,93,102,0,24,False,22
23,cellular_er,20,0.5,94,93,107,0,32,False,23
24,cellular_er,20,0.5,93,93,106,0,32,False,24
25,cellular_er,20,0.5,86,93,108,0,41,False,25
26,cellular_er,20,0.5,105,93,96,1,11,False,26
27,cellular_er,20,0.5,87,93,101,0,33,False,27
28,cellular_er,20,0.5,111,93,98,1,7,False,28
29,cellular_er,20,0.5,92,93,80,0,7,False,29
30,cellular_er,20,0.5,97,93,86,0,8,False,30
31,cellular_er,20,0.5,96,93,95,0,18,False,31
32,cellular_er,20,0.5,72,93,79,0,26,False,32
33,cellular_er,20,0.5,93,93,114,0,40,False,33
34,cellular_er,20,0.5,106,93,109,0,22,False,34
35,cellular_er,20,0.5,103,93,109,0,25,False,35
36,cellular_er,20,0.5,90,93,108,0,37,False,36
37,cellular_er,20,0.5,96,93,108,0,31,False,37
38,cellular_er,20,0.5,106,93,98,1,12,False,38
39,cellular_er,20,0.5,94,93,96,0,21,False,39
40,cellular_er,20,0.5,91,93,92,0,20,False,40
41,cellular_er,20,0.5,111,93,112,0,20,False,41
42,cellular_er,20,0.5,92,93,105,0,32,False,42
43,cellular_er,20,0.5,95,93,78,0,2,False,43
44,cellular_er,20,0.5,95,93,100,0,24,False,44
45,cellular_er,20,0.5,99,93,79,2,1,False,45
46,cellular_er,20,0.5,100,93,103,0,22,False,46
47,cellular_er,20,0.5,95,93,71,5,0,False,47
48,cellular_er,20,0.5,98,93,93,0,14,False,48
49,cellular_er,20,0.5,92,93,81,0,8,False,49
