,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-11,count-43,count-32,count-17,count-46,count-21,count-77,count-92,count-86,count-89,count-88,count-57,count-16,count-10,count-6,count-97,count-82,count-72,count-40,count-36,count-55,count-93,count-70,count-75,count-94,count-19,count-91,count-73,count-44,count-83,count-26,count-5,count-71,count-45,count-60,count-31,count-68,count-9,count-51,count-95,count-87,count-12,count-54,count-22,count-96,count-85,count-80,count-81,count-74,count-3,count-53,count-79,count-90,count-20,count-62,count-63,count-66,count-41,count-58,count-39,count-49,count-29,count-37,count-50,count-13,count-47,count-61,count-65,count-35,count-15,count-76,count-28,count-7,count-27,count-84,count-33,count-14,count-4,count-23,count-25,count-67,count-52,count-56,count-59,count-8,count-18,count-34,count-38,count-30,count-78,count-48,count-69,count-42,count-24,count-64,count-99,count-102,count-100,count-98,count-101
0,er-approx-est,500,0.1,500.0,1000,3.3235859870910645,746,17,579332,3,8,4,7,6,9,7,16.0,11.0,27.0,18,6,3,7,7,30.0,9,5,5,6,4,18.0,8,10,21.0,3,19.0,6,6,14,10,9,5,9,6,5,9,4,9,21.0,10,5,4,7,27.0,16,10,12,7,7,5,15,24.0,4,6,6,5,6,8,5,6,8,6,2,6.0,3,7,3,4,5,6,4,8,8,7,6,7,3,4,6,6.0,2,5,5,5,5,2,5,6,6,2,3,5,1,,,,,,
1,er-approx-est,500,0.1,500.0,1000,3.3228909969329834,590,0,738245,3,7,2,5,3,9,8,6.0,11.0,11.0,9,8,2,8,6,,9,7,9,6,4,1.0,9,7,,6,9.0,7,10,9,7,8,7,3,10,7,6,6,9,,5,2,9,5,,11,8,12,5,6,4,8,9.0,9,5,4,10,6,7,8,4,5,4,5,,3,11,6,4,5,10,4,2,4,12,8,11,4,3,7,8.0,3,6,5,5,3,11,9,6,7,3,7,8,5,5.0,,,,,
2,er-approx-est,500,0.1,500.0,1000,3.2788190841674805,668,24,611045,5,6,6,6,5,5,5,,5.0,20.0,11,6,3,9,3,,3,6,9,7,4,43.0,4,5,,5,63.0,6,2,5,9,8,9,6,6,8,10,3,3,,15,5,4,3,,12,11,6,6,5,6,8,33.0,5,2,3,7,6,3,8,5,10,4,4,,6,5,5,7,8,8,8,6,4,8,8,4,7,6,4,3.0,6,4,3,4,7,8,10,9,6,3,5,10,3,3.0,,,,,
3,er-approx-est,500,0.1,500.0,1000,3.3523590564727783,790,1,577755,6,7,2,6,8,11,14,23.0,17.0,34.0,22,4,8,1,10,,19,6,4,5,3,20.0,7,8,27.0,6,30.0,8,7,18,2,5,9,2,3,3,2,7,8,,22,8,2,7,,25,24,18,10,5,6,16,34.0,6,7,4,3,2,7,3,9,3,6,6,3.0,3,1,4,4,7,10,5,2,7,23,1,8,3,1,6,3.0,6,3,3,4,10,2,7,3,19,3,6,5,5,8.0,,,,,
4,er-approx-est,500,0.1,500.0,1000,3.2952589988708496,416,0,535904,4,4,4,5,4,3,2,4.0,,,2,7,6,8,7,,6,3,4,5,6,2.0,2,2,2.0,4,3.0,1,8,11,5,3,4,1,5,6,3,6,4,1.0,2,2,9,3,1.0,3,2,7,5,3,5,3,1.0,1,1,4,4,4,5,4,7,5,5,4,2.0,8,4,4,5,5,6,5,3,8,6,5,5,6,5,4,6.0,6,6,6,3,8,6,7,3,3,10,2,6,4,5.0,1.0,3.0,1.0,1.0,1.0
5,er-approx-est,500,0.1,500.0,1000,3.31022310256958,527,0,608407,5,4,4,5,8,3,5,,8.0,,10,5,7,3,6,,10,4,4,4,2,,7,9,,8,,5,7,18,4,5,6,6,7,3,10,9,6,,8,2,5,4,,10,9,4,7,4,3,7,10.0,5,8,7,6,12,5,6,6,6,7,6,3.0,3,3,5,5,7,2,5,7,7,9,4,7,7,7,9,5.0,6,7,8,5,8,7,6,5,4,2,6,3,4,7.0,,,,,
6,er-approx-est,500,0.1,500.0,1000,3.3878321647644043,1136,40,615461,10,6,5,7,5,5,11,,86.0,78.0,57,13,1,8,4,,13,7,6,6,5,,15,14,,11,100.0,9,9,22,6,8,6,5,4,5,7,7,3,,59,2,4,9,,30,6,16,10,3,9,7,125.0,5,7,11,8,11,4,5,6,11,4,5,3.0,2,8,7,5,3,7,5,6,6,20,2,7,7,7,8,12.0,5,7,5,9,8,10,7,3,19,4,7,4,7,5.0,,,,,
7,er-approx-est,500,0.1,500.0,1000,3.337570905685425,785,4,698883,6,8,4,10,10,6,10,,31.0,,70,4,4,7,3,,23,5,11,7,11,,11,13,,5,,4,6,19,9,4,7,6,8,4,7,5,1,,33,4,6,8,,33,10,19,8,11,9,13,,5,7,13,12,10,7,5,5,5,4,6,6.0,3,6,9,9,3,9,5,6,7,26,7,9,6,4,3,7.0,5,4,10,9,7,3,4,4,8,10,6,5,5,8.0,,,,,
8,er-approx-est,500,0.1,500.0,1000,3.279927968978882,670,3,492094,9,2,5,5,3,7,9,36.0,13.0,20.0,13,7,1,4,3,,9,7,5,4,8,38.0,5,6,,12,37.0,7,5,14,2,9,6,9,2,6,8,5,4,,11,5,9,10,,13,11,12,7,3,1,4,33.0,4,2,6,4,2,4,3,4,9,4,3,5.0,3,4,5,7,7,5,11,2,5,13,10,6,3,4,2,6.0,2,4,2,5,8,3,4,1,4,6,4,6,6,8.0,,,,,
9,er-approx-est,500,0.1,500.0,1000,3.2886803150177,389,0,538103,2,3,4,3,5,3,3,2.0,1.0,1.0,4,4,5,4,6,,1,3,4,4,7,3.0,2,3,6.0,4,2.0,1,10,1,10,8,1,7,5,6,4,5,5,3.0,5,3,1,3,4.0,5,4,1,4,3,5,3,3.0,6,5,2,1,7,4,5,9,4,5,1,5.0,7,3,5,4,4,1,6,10,3,4,5,7,3,8,3,,5,3,5,6,7,3,2,8,4,2,4,4,6,4.0,,,,,
