,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-20,count-7,count-49,count-10,count-44,count-37,count-46,count-12,count-48,count-51,count-38,count-16,count-9,count-26,count-27,count-28,count-34,count-42,count-50,count-45,count-18,count-23,count-4,count-32,count-47,count-43,count-31,count-39,count-33,count-15,count-40,count-5,count-13,count-36,count-29,count-8,count-35,count-21,count-17,count-3,count-25,count-22,count-41,count-53,count-14,count-19,count-6,count-24,count-30,count-11,count-52,count-54,count-57,count-56
0,er-approx-est,200,0.05,200.0,1000,0.6717560291290283,284,28,18122,1,4.0,8.0,2,17,2.0,12,8,11,8.0,3,3,6,6,7,7,6,9,2,18,3,6.0,8,6,12.0,15,5,4,5,3,10,3,5,5,3,6,5.0,2,7,1.0,2,4,5,3.0,3,2,6,2,1,2,,,,
1,er-approx-est,200,0.05,200.0,1000,0.6724510192871094,375,58,18009,2,3.0,64.0,8,11,6.0,17,3,23,,7,6,4,6,6,9,3,10,53,17,2,,1,6,19.0,5,4,5,5,3,4,6,3,9,1,5,2.0,7,1,2.0,5,4,4,,2,2,1,5,2,2,,,,
2,er-approx-est,200,0.05,200.0,1000,0.7098550796508789,184,0,16213,2,,2.0,6,1,4.0,6,3,4,4.0,3,4,4,3,4,6,4,2,1,6,4,2.0,5,6,,5,6,2,7,8,4,3,3,4,1,2,6.0,4,1,,9,2,2,2.0,4,1,4,5,2,7,4.0,,,
3,er-approx-est,200,0.05,200.0,1000,0.670957088470459,191,2,12411,5,2.0,4.0,6,2,,1,1,9,,3,7,3,5,4,5,4,4,9,5,3,4.0,2,5,3.0,2,2,4,4,4,2,6,4,3,2,4,3.0,3,5,5.0,6,3,1,,3,5,9,8,2,5,,,,
4,er-approx-est,200,0.05,200.0,1000,0.6805310249328613,236,1,17932,4,3.0,3.0,2,8,8.0,8,3,2,2.0,3,2,5,2,6,5,3,12,13,5,3,6.0,2,8,9.0,8,3,3,2,3,2,7,4,2,2,5,3.0,3,3,2.0,3,5,5,2.0,1,8,4,4,6,7,4.0,3.0,3.0,2.0
5,er-approx-est,200,0.05,200.0,1000,0.693091869354248,272,4,19582,6,3.0,7.0,5,3,10.0,12,3,7,12.0,3,1,6,7,7,3,1,5,11,11,1,4.0,6,5,12.0,6,1,9,6,2,6,7,1,8,7,3,5.0,5,7,3.0,1,6,7,10.0,4,2,4,4,5,2,,,,
6,er-approx-est,200,0.05,200.0,1000,0.6557140350341797,234,2,12354,4,4.0,2.0,3,2,2.0,4,4,9,6.0,3,5,4,8,6,5,7,4,4,4,6,5.0,6,3,6.0,12,6,3,1,6,2,5,8,2,4,3,7.0,4,6,3.0,4,3,4,1.0,2,5,4,4,7,4,8.0,,,
7,er-approx-est,200,0.05,200.0,1000,0.657534122467041,193,8,14874,3,2.0,,5,1,3.0,7,5,3,3.0,4,2,7,4,4,2,3,7,5,3,4,2.0,3,6,4.0,4,3,3,4,2,2,2,5,7,5,1,9.0,4,6,5.0,3,2,7,3.0,4,3,4,4,4,5,,,,
8,er-approx-est,200,0.05,200.0,1000,0.6619329452514648,222,0,15746,7,5.0,4.0,11,4,3.0,6,3,3,5.0,3,8,7,2,5,2,6,2,6,2,3,1.0,4,6,6.0,7,1,6,3,4,8,3,5,7,3,6,,1,5,8.0,4,4,5,,7,3,5,1,4,7,1.0,,,
9,er-approx-est,200,0.05,200.0,1000,0.6527988910675049,203,2,15761,3,3.0,,3,4,5.0,2,7,1,3.0,5,3,5,2,6,3,4,5,3,3,2,3.0,2,8,2.0,4,2,8,3,5,8,5,4,3,2,6,3.0,6,3,4.0,3,5,1,,9,2,6,2,3,2,17.0,,,
