,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
0,0.27619047619047615,0.3943031234379943,0.4697222222222223,0.3653846153846154,1.0,3
1,0.06093257392007392,0.08716029931948559,0.07917969821673526,0.06786831275720165,1.0,5
2,0.2756726190476191,0.335285541299284,0.4644444444444445,0.3653846153846154,1.0,3
3,0.15452838369820726,0.28450384915906185,0.22987654320987655,0.1889396245560629,1.0,4
4,0.05514902311000206,0.11233927875165224,0.06341187014174669,0.05715232931230388,1.0,7
5,0.0008766358142626091,0.0025912065846930557,0.0009233383595168609,0.0008656297120470571,1.0,10
6,0.27619047619047615,0.336728057687128,0.4697222222222223,0.3653846153846154,1.0,3
7,0.15452838369820726,0.2621907303393394,0.22987654320987655,0.1889396245560629,1.0,4
8,0.050855118580118576,0.05985137538706066,0.06704732510288067,0.057469135802469144,1.0,5
9,0.006165773092444051,0.02144705160940002,0.00692215346576572,0.006340903938106003,1.0,8
10,0.050855118580118576,0.05967715207264848,0.06704732510288067,0.057469135802469144,1.0,5
11,0.15418830232141004,0.23539722016689818,0.22987654320987655,0.1889396245560629,1.0,4
12,0.026693266275632174,0.037143348961025835,0.033076680384087793,0.029185306221253936,1.0,6
13,0.06285895703395702,0.13006323196480996,0.08301097393689988,0.0711522633744856,1.0,5
14,0.12498907454463012,0.21614267034735662,0.173684499314129,0.1488724279835391,1.0,5
15,0.002912764551066422,0.007861421711904432,0.003165731518343523,0.002967873298447053,1.0,10
16,0.011482799141248327,0.028396925467396653,0.013152091584954867,0.012047717482401406,1.0,8
17,0.019636793708337975,0.034889925198382764,0.02383904892546868,0.02103445493423707,1.0,6
18,0.24734655905905906,0.27860737404592956,0.32182716049382726,0.2758518518518519,1.0,5
19,0.09972533206831119,0.12265412090419502,0.14777777777777779,0.12146118721461187,1.0,4
20,0.05272243878493879,0.0845616653141769,0.07087860082304527,0.0607530864197531,1.0,5
21,0.11989404908182318,0.20871548732355485,0.1501860082304527,0.1353607799501934,1.0,7
22,0.0853969276969277,0.14008266184028448,0.1149382716049383,0.09851851851851852,1.0,5
23,0.06055811367037391,0.12295813143734752,0.07008680384087793,0.06316836397675692,1.0,7
24,0.1835095891510191,0.22080175216919212,0.24629629629629632,0.2024353120243531,1.0,4
25,0.047327923743521565,0.06506014198659654,0.05506820301783265,0.04963228598173758,1.0,7
26,0.010054418995662444,0.014795319123942809,0.011681133973479654,0.010528060662792821,1.0,7
27,0.009807840521042284,0.021358530454650602,0.011403011736015854,0.010277392551773944,1.0,7
28,0.010857726884611611,0.021180691891414277,0.011984555033729052,0.011235520344120986,1.0,10
29,0.018206160143704634,0.03221518474713464,0.021255625908877942,0.01992714928957307,1.0,10
30,0.004005360664720641,0.008592279900483692,0.004361674536384409,0.004124219475664341,1.0,11
31,0.005998634095039838,0.018016846160524402,0.006622193482249208,0.0061443032309528725,1.0,9
32,0.010180195214391046,0.013306491591303671,0.011080060314202332,0.010387556544564684,1.0,10
33,0.000525205740781968,0.0005356989660859265,0.0005526351070293509,0.0005263191495517628,1.0,12
34,0.0017945191517716804,0.0020788472711699454,0.0019463386372037957,0.0018403775079577438,1.0,11
35,0.005127343563384737,0.006163239379387848,0.0058038411169631255,0.00544110104715293,1.0,10
36,0.06216035029002073,0.09142972196018143,0.07861588578976783,0.0708555193813358,1.0,7
37,0.017160137119096804,0.04422540522037648,0.018689814357567443,0.017120440632886206,1.0,8
38,0.0035842339586770948,0.004784821417410422,0.0037875716380181435,0.0035508484106420097,1.0,10
39,0.1835095891510191,0.22182177033062694,0.24629629629629632,0.2024353120243531,1.0,4
40,0.003909450265495611,0.009017592841045322,0.004118681312130604,0.00382145688754386,1.0,9
41,0.001125803015955689,0.0016041944249566803,0.0011982880043507709,0.0011412266708102578,1.0,12
42,0.029857475139336457,0.04774755229032541,0.03348591739064167,0.03067412280058779,1.0,8
43,0.038336266189264084,0.05898133975085304,0.044647889854188896,0.040898830400783716,1.0,8
44,0.03269055137531908,0.04051722373890959,0.03973316089349525,0.03686581938571724,1.0,9
45,8.402206257840934e-05,9.025921398283205e-05,8.658963275815953e-05,8.341203155602523e-05,1.0,14
46,0.0011121193564146618,0.0019787119422820507,0.0011934305327088678,0.0011188411244145637,1.0,10
47,0.007938017201787278,0.013367747476945883,0.008883430281066008,0.008137493387236037,1.0,8
48,0.07074187114913451,0.16216474078858567,0.08899911598841641,0.07852863175448507,1.0,6
49,0.06093257392007393,0.10321434791014222,0.07917969821673526,0.06786831275720165,1.0,5
50,0.11715998185685687,0.20980281033047607,0.14175720164609054,0.1215061728395062,1.0,5
51,0.009446329675496901,0.015247738939050967,0.01084676726108825,0.009776056329736191,1.0,7
52,0.00649888473529847,0.015397963337053178,0.007122895916272928,0.006677714921505869,1.0,10
53,0.0060864707802549866,0.01565047851424874,0.006749099629121577,0.006182381339653353,1.0,8
54,0.0020309274316033907,0.0052523850367997655,0.0021607373855360556,0.002025691298940052,1.0,10
55,0.052378713843703094,0.0846971119277611,0.061683539094650214,0.054426652142338425,1.0,6
56,0.023558497848745395,0.049712804975883755,0.028209541228471274,0.024890771672180536,1.0,6
57,0.06080420777168049,0.0741644708328831,0.07133835390946502,0.06429637047634186,1.0,7
58,0.0020309274316033907,0.004082555587500835,0.0021607373855360556,0.002025691298940052,1.0,10
59,0.0007135426096737836,0.0014565878181397557,0.0007490346896080657,0.0007022200215075616,1.0,10
60,0.12993725867814626,0.16648917343211217,0.19703703703703704,0.1619482496194825,1.0,4
61,0.04310467068535469,0.07974529983405383,0.05482981252857797,0.04837924634874526,1.0,6
62,0.003558402810981985,0.0060340300867471304,0.004088396890717879,0.0037933579398413317,1.0,9
63,0.05058998445560945,0.059677152072648496,0.06704732510288067,0.057469135802469144,1.0,5
64,0.002294947438779029,0.0040643830223634275,0.0024873604786984824,0.002331900448779827,1.0,10
65,0.026962415791422768,0.0538506787934684,0.030037201646090538,0.027072155990038684,1.0,7
66,0.2259682233991334,0.2735535794002823,0.29555555555555557,0.24292237442922374,1.0,4
67,0.011062459779010797,0.014678060058765234,0.013141275720164611,0.011844068245641924,1.0,7
68,0.013458652421225997,0.020089297716190162,0.015852967535436673,0.01428808232807597,1.0,7
69,0.018438031788730012,0.026425872116170156,0.022249778997104102,0.020053448881510137,1.0,7
70,0.004859451080657857,0.01354235821589161,0.0054511958542905045,0.004993461851258477,1.0,8
71,0.0009197240185418446,0.0014528205961560296,0.000989291099482351,0.000927460405764704,1.0,10
72,0.00042376899834358075,0.0005259127507963818,0.0004390986865257962,0.0004181892252626629,1.0,12
73,0.0009197240185418446,0.0016659683036216533,0.000989291099482351,0.000927460405764704,1.0,10
74,0.052805478555478555,0.08318260521208856,0.07087860082304527,0.0607530864197531,1.0,5
75,0.12993725867814626,0.16703956456393465,0.19703703703703704,0.1619482496194825,1.0,4
76,0.05058998445560945,0.05985137538706065,0.06704732510288067,0.057469135802469144,1.0,5
77,0.0853969276969277,0.1393661940115897,0.1149382716049383,0.09851851851851852,1.0,5
78,0.025997482868504604,0.045662840139476246,0.03218271604938272,0.028396514161220045,1.0,6
79,0.001700596585180399,0.0035623557432240935,0.0017939145270613299,0.0016962515585393662,1.0,11
80,0.12702038497278642,0.21699074051083864,0.15256991312299956,0.13462051157911728,1.0,6
81,0.07141146723646723,0.10210318866230564,0.09769753086419755,0.08374074074074075,1.0,5
82,0.0001974364076213492,0.00031721721476607163,0.00021065793683792085,0.00020185895667515754,1.0,13
83,0.00010120603732355129,0.00023301980342978158,0.00010366923921963137,9.986486346845222e-05,1.0,14
84,0.01145774257177868,0.02281139814108143,0.012598319307693614,0.011689162244251806,1.0,9
85,0.15452838369820726,0.22241283033613718,0.22987654320987655,0.1889396245560629,1.0,4
86,0.00794711419498254,0.012116625230078795,0.009386625514403293,0.008460048746887086,1.0,7
87,0.026962415791422768,0.054514048056395994,0.030037201646090538,0.027072155990038684,1.0,7
88,0.05272243878493879,0.08337969941678261,0.07087860082304527,0.0607530864197531,1.0,5
89,0.06575019988790547,0.08163762252675451,0.08850246913580248,0.07809041394335513,1.0,6
90,0.029926546050735484,0.0567399967841623,0.03348591739064167,0.03067412280058779,1.0,8
91,0.05990229029189577,0.08144766463915917,0.06852931931108064,0.06277494898724943,1.0,8
92,0.006749481327073519,0.017220155767779525,0.007631674196006709,0.007080934821037153,1.0,9
93,0.016986384991091567,0.0527170146752132,0.020024801097393692,0.01804810399335912,1.0,7
94,0.0031093140274592946,0.008478715281410625,0.0033918551982252037,0.003147082142683179,1.0,9
95,0.012918355847535316,0.036528765222787495,0.014017360768175583,0.012840330474664655,1.0,8
96,0.026693266275632174,0.03757313333722613,0.033076680384087793,0.029185306221253936,1.0,6
97,0.003909020598145445,0.0047109967093315955,0.0043804252400548695,0.0040126032733327046,1.0,8
98,4.6622417812961246e-05,9.397506475768966e-05,4.607521743094728e-05,4.4384383763756546e-05,1.0,14
99,0.0016406256923532608,0.003002796991085554,0.0017524585190830217,0.0016429298616403329,1.0,10
100,0.023558497848745395,0.04864000717827025,0.028209541228471274,0.024890771672180536,1.0,6
101,0.017013117903816054,0.03742561448955768,0.020024801097393692,0.01804810399335912,1.0,7
102,0.06113329290829291,0.12352705901370353,0.07917969821673526,0.06786831275720165,1.0,5
103,0.004075835612883188,0.010447170105655157,0.004414795654832805,0.004096202153968582,1.0,9
104,0.009052574699746354,0.016489233365189173,0.01038323019864858,0.009511355907159005,1.0,8
105,0.026850802281201125,0.04273296029844615,0.033076680384087793,0.029185306221253936,1.0,6
106,0.0017731322177156395,0.005713146251948035,0.0018978237418641021,0.0017608673893584452,1.0,9
107,0.02091537700291823,0.04291445049844628,0.02336226794695931,0.021056121325585642,1.0,7
108,0.0028876912854383656,0.0040830008046443675,0.003179864248336128,0.0029128527465674446,1.0,8
109,0.00015959908242529607,0.00027478459624027816,0.00016004531564958925,0.00015242411014246597,1.0,12
110,0.000574792009135227,0.0014190654309950237,0.0005979715090204432,0.0005654171861797887,1.0,11
111,0.0047296185034717535,0.012785940710432984,0.005208920482988705,0.004833019004834882,1.0,9
112,0.000529001045639517,0.0011066450028570955,0.0005627967143721818,0.0005321573516986247,1.0,11
113,0.0010648556824465738,0.003733188557850915,0.001130618399408401,0.001059954749445376,1.0,10
114,0.005374787619210803,0.013864678304072002,0.005976125825444406,0.005544859013298934,1.0,9
115,0.019495877488314915,0.03351063392585456,0.02383904892546868,0.02103445493423707,1.0,6
116,0.009807840521042284,0.0211301854312279,0.011403011736015854,0.010277392551773944,1.0,7
117,0.025997482868504604,0.044391402719968505,0.03218271604938272,0.028396514161220045,1.0,6
118,0.016986384991091567,0.04477099742510375,0.020024801097393692,0.01804810399335912,1.0,7
119,0.03907106829242116,0.12624465589595066,0.04767809785093736,0.04206890986847414,1.0,6
120,0.002776929861350503,0.010516114548891425,0.003014982398422403,0.0028265459985210026,1.0,10
121,0.056866062739955356,0.09330603181898428,0.06508060356652949,0.05865633797841715,1.0,7
