,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,31,22.047257617728533,3.8474999999999997,26.837251340857634,6320,21.12037949464968,6304,26.837251340857634,12,barabasialbert,0.15,0.26842105263157895
1,4,102,75.4538382417262,7.3583437499999995,100.46655121140209,6451,86.59133615845506,6407,100.46655121140209,12,barabasialbert,0.15,0.26842105263157895
2,5,319,259.24350317999404,14.128019999999998,348.6085511593658,6476,319.28992241295265,6420,348.6085511593658,12,barabasialbert,0.15,0.26842105263157895
3,6,870,869.830175143401,26.490037499999996,1036.4710987399642,5035,1003.7346987634805,4959,1036.4710987399642,12,barabasialbert,0.15,0.26842105263157895
4,7,2201,2801.7687746724287,47.682067499999995,2575.9181515335595,3427,2651.5332421090225,3570,2575.9181515335595,12,barabasialbert,0.15,0.26842105263157895
5,8,4866,8554.611107404435,81.35752767187498,6000.268201912905,2186,6155.312658341482,2171,6000.268201912905,12,barabasialbert,0.15,0.26842105263157895
6,9,9496,24493.202328568488,130.17204427499996,11997.366377816878,1215,11504.05550072434,1171,11997.366377816878,12,barabasialbert,0.15,0.26842105263157895
7,10,16638,65087.46239839068,193.3054857483749,19415.014678427044,557,21139.652012213366,617,19415.014678427044,12,barabasialbert,0.15,0.26842105263157895
8,11,25517,158825.86518267586,263.5983896568749,24658.86443676146,230,26702.977266279326,238,24658.86443676146,12,barabasialbert,0.15,0.26842105263157895
9,12,33755,351715.69881900446,326.2030072003827,20514.53947856133,65,35561.64671460435,93,20514.53947856133,12,barabasialbert,0.15,0.26842105263157895
10,13,38283,697166.0167683586,361.3325618219623,24931.7244026732,29,42194.94585144515,34,24931.7244026732,12,barabasialbert,0.15,0.26842105263157895
11,14,36623,1216371.2345195313,352.29924777641327,20625.602601709397,6,34076.64574367547,11,20625.602601709397,12,barabasialbert,0.15,0.26842105263157895
12,15,29003,1828398.0240988322,295.9313681321871,21180.85032418431,3,22252.00713806664,3,21180.85032418431,12,barabasialbert,0.15,0.26842105263157895
13,16,18710,2300533.698084879,208.07674321794406,0.0,0,13275.671542932421,1,2300533.698084879,12,barabasialbert,0.15,0.26842105263157895
14,17,9336,2324749.8422752465,117.50216087601545,0.0,0,29656.819710004354,1,2324749.8422752465,12,barabasialbert,0.15,0.26842105263157895
15,18,3222,1768033.432677753,49.93841837230657,0.0,0,0.0,0,1768033.432677753,12,barabasialbert,0.15,0.26842105263157895
16,19,683,899199.2749020373,14.193024168971341,0.0,0,0.0,0,899199.2749020373,12,barabasialbert,0.15,0.26842105263157895
17,20,50,229295.8151000195,2.022505944078416,0.0,0,0.0,0,229295.8151000195,12,barabasialbert,0.15,0.26842105263157895
