,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,26,22.047257617728533,3.8474999999999997,24.07414243127103,6026,19.081722496002175,6119,24.07414243127103,6,barabasialbert,0.15,0.26842105263157895
1,4,84,75.4538382417262,7.3583437499999995,91.81594178357119,5965,77.05675477328344,5870,91.81594178357119,6,barabasialbert,0.15,0.26842105263157895
2,5,286,259.24350317999404,14.128019999999998,335.3971712771449,6160,309.7011951940545,6199,335.3971712771449,6,barabasialbert,0.15,0.26842105263157895
3,6,864,869.830175143401,26.490037499999996,1085.4312012750509,5130,1045.7234707126904,5103,1085.4312012750509,6,barabasialbert,0.15,0.26842105263157895
4,7,2335,2801.7687746724287,47.682067499999995,3007.7065887599033,3714,3031.2843433988537,3621,3007.7065887599033,6,barabasialbert,0.15,0.26842105263157895
5,8,5767,8554.611107404435,81.35752767187498,7733.750390095472,2414,7999.970221790333,2373,7733.750390095472,6,barabasialbert,0.15,0.26842105263157895
6,9,12696,24493.202328568488,130.17204427499996,16714.462904901306,1359,18165.91853815778,1433,16714.462904901306,6,barabasialbert,0.15,0.26842105263157895
7,10,24722,65087.46239839068,193.3054857483749,32474.07145444224,723,35012.049223433845,740,32474.07145444224,6,barabasialbert,0.15,0.26842105263157895
8,11,42132,158825.86518267586,263.5983896568749,48236.622174282405,312,54537.86380197902,327,48236.622174282405,6,barabasialbert,0.15,0.26842105263157895
9,12,62899,351715.69881900446,326.2030072003827,67658.84769213368,135,83353.22501981891,139,67658.84769213368,6,barabasialbert,0.15,0.26842105263157895
10,13,80738,697166.0167683586,361.3325618219623,91966.46519827846,50,100974.18600115334,56,91966.46519827846,6,barabasialbert,0.15,0.26842105263157895
11,14,86052,1216371.2345195313,352.29924777641327,61479.910404929484,11,80372.19846617189,14,61479.910404929484,6,barabasialbert,0.15,0.26842105263157895
12,15,72839,1828398.0240988322,295.9313681321871,9237.968424203802,1,57110.56601299211,3,9237.968424203802,6,barabasialbert,0.15,0.26842105263157895
13,16,46136,2300533.698084879,208.07674321794406,0.0,0,79620.98410358762,3,2300533.698084879,6,barabasialbert,0.15,0.26842105263157895
14,17,20447,2324749.8422752465,117.50216087601545,0.0,0,0.0,0,2324749.8422752465,6,barabasialbert,0.15,0.26842105263157895
15,18,5731,1768033.432677753,49.93841837230657,0.0,0,0.0,0,1768033.432677753,6,barabasialbert,0.15,0.26842105263157895
16,19,959,899199.2749020373,14.193024168971341,0.0,0,0.0,0,899199.2749020373,6,barabasialbert,0.15,0.26842105263157895
17,20,119,229295.8151000195,2.022505944078416,0.0,0,0.0,0,229295.8151000195,6,barabasialbert,0.15,0.26842105263157895
