,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,30,22.047257617728533,3.8474999999999997,27.612430621063343,7163,21.5365426534558,7203,27.612430621063343,10,barabasialbert,0.15,0.26842105263157895
1,4,97,75.4538382417262,7.3583437499999995,104.37094207009221,7066,86.07764310994486,6883,104.37094207009221,10,barabasialbert,0.15,0.26842105263157895
2,5,283,259.24350317999404,14.128019999999998,329.08373118119613,6141,300.7624331041399,6117,329.08373118119613,10,barabasialbert,0.15,0.26842105263157895
3,6,779,869.830175143401,26.490037499999996,964.3308700619325,4475,959.2188130206875,4590,964.3308700619325,10,barabasialbert,0.15,0.26842105263157895
4,7,2011,2801.7687746724287,47.682067499999995,2746.782444911053,3167,2788.779008603078,3315,2746.782444911053,10,barabasialbert,0.15,0.26842105263157895
5,8,4587,8554.611107404435,81.35752767187498,6710.764218082283,2093,6822.899681874471,2037,6710.764218082283,10,barabasialbert,0.15,0.26842105263157895
6,9,9127,24493.202328568488,130.17204427499996,13062.713814325956,1090,13239.055645726463,1047,13062.713814325956,10,barabasialbert,0.15,0.26842105263157895
7,10,15803,65087.46239839068,193.3054857483749,20488.0865971955,492,24909.73066457958,501,20488.0865971955,10,barabasialbert,0.15,0.26842105263157895
8,11,23664,158825.86518267586,263.5983896568749,31051.440263118737,232,37761.09592085808,216,31051.440263118737,10,barabasialbert,0.15,0.26842105263157895
9,12,29741,351715.69881900446,326.2030072003827,23839.362267531844,63,41757.79212799593,70,23839.362267531844,10,barabasialbert,0.15,0.26842105263157895
10,13,30095,697166.0167683586,361.3325618219623,14074.07187886945,12,31498.57231862647,19,14074.07187886945,10,barabasialbert,0.15,0.26842105263157895
11,14,23759,1216371.2345195313,352.29924777641327,30596.681835838754,5,15260.789580212742,2,30596.681835838754,10,barabasialbert,0.15,0.26842105263157895
12,15,14113,1828398.0240988322,295.9313681321871,7342.385293003539,1,0.0,0,7342.385293003539,10,barabasialbert,0.15,0.26842105263157895
13,16,5978,2300533.698084879,208.07674321794406,0.0,0,0.0,0,2300533.698084879,10,barabasialbert,0.15,0.26842105263157895
14,17,1673,2324749.8422752465,117.50216087601545,0.0,0,0.0,0,2324749.8422752465,10,barabasialbert,0.15,0.26842105263157895
15,18,265,1768033.432677753,49.93841837230657,0.0,0,0.0,0,1768033.432677753,10,barabasialbert,0.15,0.26842105263157895
16,19,14,899199.2749020373,14.193024168971341,0.0,0,0.0,0,899199.2749020373,10,barabasialbert,0.15,0.26842105263157895
17,20,0,229295.8151000195,2.022505944078416,0.0,0,0.0,0,229295.8151000195,10,barabasialbert,0.15,0.26842105263157895
