,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,161700.0,161700.0,161700.0,161947.7777776898,145753,161638.8888887981,145475,161947.7777776898,10,full,1,1.0
1,4,11763675.0,11763675.0,11763675.0,11801499.999942906,188824,11774249.999943161,188388,11801499.999942906,10,full,1,1.0
2,5,903450240.0,903450240.0,903450240.0,909484000.0040095,227371,905252000.0040686,226313,909484000.0040095,10,full,1,1.0
3,6,71523144000.0,71523144000.0,71523144000.0,72212500000.33995,259965,71742500000.33423,258273,72212500000.33995,10,full,1,1.0
4,7,5762721888000.0,5762721888000.0,5762721888000.0,5818755102085.599,285119,5796755102085.189,284041,5818755102085.599,10,full,1,1.0
5,8,468941493636000.0,468941493636000.0,468941493636000.0,473679687498475.44,303155,473067187498478.9,302763,473679687498475.44,10,full,1,1.0
6,9,3.8348993257344e+16,3.8348993257344e+16,3.8348993257344e+16,3.87882716047519e+16,314185,3.875728395043157e+16,313934,3.87882716047519e+16,10,full,1,1.0
7,10,3.1407825477764736e+18,3.1407825477764736e+18,3.1407825477764736e+18,3.176449999983304e+18,317645,3.1736399999833185e+18,317364,3.176449999983304e+18,10,full,1,1.0
8,11,2.5697311754534784e+20,2.5697311754534784e+20,2.5697311754534784e+20,2.596041322323439e+20,314121,2.595586776868904e+20,314066,2.596041322323439e+20,10,full,1,1.0
9,12,2.096472350640796e+22,2.096472350640796e+22,2.096472350640796e+22,2.1137569444484197e+22,304381,2.1119861111151024e+22,304126,2.1137569444484197e+22,10,full,1,1.0
10,13,1.7029806171359082e+24,1.7029806171359082e+24,1.7029806171359082e+24,1.714372781064015e+24,289729,1.7110473372770355e+24,289167,1.714372781064015e+24,10,full,1,1.0
11,14,1.3757650557005087e+26,1.3757650557005087e+26,1.3757650557005087e+26,1.3879132652988522e+26,272031,1.3801173469316409e+26,270503,1.3879132652988522e+26,10,full,1,1.0
12,15,1.1042807513756085e+28,1.1042807513756085e+28,1.1042807513756085e+28,1.1127866666630166e+28,250377,1.1058888888852706e+28,248825,1.1127866666630166e+28,10,full,1,1.0
