,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,161700.0,161700.0,161700.0,161334.4444443508,145201,161736.66666657713,145563,161334.4444443508,5,full,1,1.0
1,4,11763675.0,11763675.0,11763675.0,11760499.999943271,188168,11768249.999943208,188292,11760499.999943271,5,full,1,1.0
2,5,903450240.0,903450240.0,903450240.0,906628000.0040498,226657,903200000.0040985,225800,906628000.0040498,5,full,1,1.0
3,6,71523144000.0,71523144000.0,71523144000.0,72064166667.00499,259431,71263888889.21735,256550,72064166667.00499,5,full,1,1.0
4,7,5762721888000.0,5762721888000.0,5762721888000.0,5813387755146.724,284856,5732326530655.451,280884,5813387755146.724,5,full,1,1.0
5,8,468941493636000.0,468941493636000.0,468941493636000.0,472603124998480.6,302466,466379687498517.7,298483,472603124998480.6,5,full,1,1.0
6,9,3.8348993257344e+16,3.8348993257344e+16,3.8348993257344e+16,3.869814814796361e+16,313455,3.822234567883756e+16,309601,3.869814814796361e+16,5,full,1,1.0
7,10,3.1407825477764736e+18,3.1407825477764736e+18,3.1407825477764736e+18,3.163589999983417e+18,316359,3.1388299999836513e+18,313883,3.163589999983417e+18,5,full,1,1.0
8,11,2.5697311754534784e+20,2.5697311754534784e+20,2.5697311754534784e+20,2.5828677686043902e+20,312527,2.5754380165382177e+20,311628,2.5828677686043902e+20,5,full,1,1.0
9,12,2.096472350640796e+22,2.096472350640796e+22,2.096472350640796e+22,2.10086805555951e+22,302525,2.1053958333373035e+22,303177,2.10086805555951e+22,5,full,1,1.0
10,13,1.7029806171359082e+24,1.7029806171359082e+24,1.7029806171359082e+24,1.6986213017740903e+24,287067,1.7159408284012887e+24,289994,1.6986213017740903e+24,5,full,1,1.0
11,14,1.3757650557005087e+26,1.3757650557005087e+26,1.3757650557005087e+26,1.3672806122380239e+26,267987,1.3902346938702277e+26,272486,1.3672806122380239e+26,5,full,1,1.0
12,15,1.1042807513756085e+28,1.1042807513756085e+28,1.1042807513756085e+28,1.0937244444408765e+28,246088,1.1187022222185495e+28,251708,1.0937244444408765e+28,5,full,1,1.0
