,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,0.0,20831.207699894574,0.0,0.0,0,0.0,0,20831.207699894574,11,fullbip,0.0,0.5050505050505051
1,4,1500625.0,765389.0707915808,0.0,1527360.3236019257,187891,,188219,1527360.3236019257,11,fullbip,0.0,0.5050505050505051
2,5,0.0,29687818.503431015,0.0,0.0,0,0.0,0,29687818.503431015,11,fullbip,0.0,0.5050505050505051
3,6,2304960000.0,1187012945.2129407,0.0,2360377811.637668,256302,,258195,2360377811.637668,11,fullbip,0.0,0.5050505050505051
4,7,0.0,48302691277.06339,0.0,0.0,0,0.0,0,48302691277.06339,11,fullbip,0.0,0.5050505050505051
5,8,3818742480000.0,1985167425591.4312,0.0,3951034283699.229,299325,,302319,3951034283699.229,11,fullbip,0.0,0.5050505050505051
6,9,0.0,81991202313989.53,0.0,0.0,0,0.0,0,81991202313989.53,11,fullbip,0.0,0.5050505050505051
7,10,6464367270144000.0,3391454277533203.5,0.0,6771950903986176.0,314706,,317345,6771950903986176.0,11,fullbip,0.0,0.5050505050505051
8,11,0.0,1.401427387410415e+17,0.0,0.0,0,0.0,0,1.401427387410415e+17,11,fullbip,0.0,0.5050505050505051
9,12,1.0908619768367999e+19,5.774399883311431e+18,0.0,1.1487008352650228e+19,301890,,304409,1.1487008352650228e+19,11,fullbip,0.0,0.5050505050505051
10,13,0.0,2.3689845675123822e+20,0.0,0.0,0,0.0,0,2.3689845675123822e+20,11,fullbip,0.0,0.5050505050505051
11,14,1.8102075318480384e+22,9.665662142339483e+21,0.0,1.9037868873744158e+22,267538,,268861,1.9037868873744158e+22,11,fullbip,0.0,0.5050505050505051
12,15,0.0,3.918335764099912e+23,0.0,0.0,0,0.0,0,3.918335764099912e+23,11,fullbip,0.0,0.5050505050505051
13,16,2.9286895105886452e+25,1.5769817232409683e+25,0.0,3.0886480364670923e+25,222787,,223725,3.0886480364670923e+25,11,fullbip,0.0,0.5050505050505051
14,17,0.0,6.296682816505828e+26,0.0,0.0,0,0.0,0,6.296682816505828e+26,11,fullbip,0.0,0.5050505050505051
15,18,4.592185152602996e+28,2.4928786347053095e+28,0.0,4.906028391998515e+28,176060,,173975,4.906028391998515e+28,11,fullbip,0.0,0.5050505050505051
16,19,0.0,9.78067215530313e+29,0.0,0.0,0,0.0,0,9.78067215530313e+29,11,fullbip,0.0,0.5050505050505051
17,20,6.947516917373072e+31,3.801124860356444e+31,0.0,7.6227075889941e+31,132797,,128455,7.6227075889941e+31,11,fullbip,0.0,0.5050505050505051
18,21,0.0,1.4626743089394688e+33,0.0,0.0,0,0.0,0,1.4626743089394688e+33,11,fullbip,0.0,0.5050505050505051
19,22,1.0105479152542649e+35,5.570653531980209e+34,0.0,1.1280740240886797e+35,93532,,90173,1.1280740240886797e+35,11,fullbip,0.0,0.5050505050505051
20,23,0.0,2.0990868381374698e+36,0.0,0.0,0,0.0,0,2.0990868381374698e+36,11,fullbip,0.0,0.5050505050505051
21,24,1.408956430843259e+38,7.822985669910477e+37,0.0,1.5971326187474762e+38,62004,,60399,1.5971326187474762e+38,11,fullbip,0.0,0.5050505050505051
22,25,0.0,2.882651689276104e+39,0.0,0.0,0,0.0,0,2.882651689276104e+39,11,fullbip,0.0,0.5050505050505051
23,26,1.878030541050153e+41,1.0499168448703757e+41,0.0,2.157019381036062e+41,38677,,37978,2.157019381036062e+41,11,fullbip,0.0,0.5050505050505051
24,27,0.0,3.778600840872808e+42,0.0,0.0,0,0.0,0,3.778600840872808e+42,11,fullbip,0.0,0.5050505050505051
25,28,2.387379252790684e+44,1.343366208037573e+44,0.0,2.7957152290416453e+44,22886,,22276,2.7957152290416453e+44,11,fullbip,0.0,0.5050505050505051
26,29,0.0,4.716520855805899e+45,0.0,0.0,0,0.0,0,4.716520855805899e+45,11,fullbip,0.0,0.5050505050505051
27,30,2.8877739441756117e+47,1.6349017579300248e+47,0.0,3.3690336325003214e+47,12466,,12363,3.3690336325003214e+47,11,fullbip,0.0,0.5050505050505051
28,31,0.0,5.593505525664796e+48,0.0,0.0,0,0.0,0,5.593505525664796e+48,11,fullbip,0.0,0.5050505050505051
29,32,3.3164278890141787e+50,1.888337802935133e+50,0.0,3.985951877769499e+50,6609,,6475,3.985951877769499e+50,11,fullbip,0.0,0.5050505050505051
30,33,0.0,6.288679306989363e+51,0.0,0.0,0,0.0,0,6.288679306989363e+51,11,fullbip,0.0,0.5050505050505051
31,34,3.6082735432474263e+53,2.065399576315134e+53,0.0,4.250206862806215e+53,3134,,3220,4.250206862806215e+53,11,fullbip,0.0,0.5050505050505051
32,35,0.0,6.687960532829957e+54,0.0,0.0,0,0.0,0,6.687960532829957e+54,11,fullbip,0.0,0.5050505050505051
33,36,3.7111093392299786e+56,2.134555304740201e+56,0.0,4.322544213776727e+56,1408,,1540,4.322544213776727e+56,11,fullbip,0.0,0.5050505050505051
34,37,0.0,6.713097764293508e+57,0.0,0.0,0,0.0,0,6.713097764293508e+57,11,fullbip,0.0,0.5050505050505051
35,38,3.6001667021414192e+59,2.079775503531123e+59,0.0,4.2017009061744685e+59,601,,704,4.2017009061744685e+59,11,fullbip,0.0,0.5050505050505051
36,39,0.0,6.3454430022265284e+60,0.0,0.0,0,0.0,0,6.3454430022265284e+60,11,fullbip,0.0,0.5050505050505051
37,40,3.2867721907200083e+62,1.9060364775627417e+62,0.0,4.065497195491358e+62,254,,285,4.065497195491358e+62,11,fullbip,0.0,0.5050505050505051
38,41,0.0,5.6349932817819414e+63,0.0,0.0,0,0.0,0,5.6349932817819414e+63,11,fullbip,0.0,0.5050505050505051
39,42,2.8172333063314357e+65,1.639135251158071e+65,0.0,3.939815842750763e+65,107,,75,3.939815842750763e+65,11,fullbip,0.0,0.5050505050505051
40,43,0.0,4.689844340875101e+66,0.0,0.0,0,0.0,0,4.689844340875101e+66,11,fullbip,0.0,0.5050505050505051
41,44,2.2615980646872495e+68,1.3194224609142419e+68,0.0,1.786515416908965e+68,21,,9,1.786515416908965e+68,11,fullbip,0.0,0.5050505050505051
42,45,0.0,3.6487732252443226e+69,0.0,0.0,0,0.0,0,3.6487732252443226e+69,11,fullbip,0.0,0.5050505050505051
43,46,1.69600188781416e+71,9.915144633816095e+70,0.0,9.866498591534889e+70,5,0.0,0,9.866498591534889e+70,11,fullbip,0.0,0.5050505050505051
44,47,0.0,2.646595666279731e+72,0.0,0.0,0,0.0,0,2.646595666279731e+72,11,fullbip,0.0,0.5050505050505051
45,48,1.1848693188741674e+74,6.936731696867436e+73,0.0,0.0,0,0.0,0,6.936731696867436e+73,11,fullbip,0.0,0.5050505050505051
46,49,0.0,1.7845889832386233e+75,0.0,0.0,0,0.0,0,1.7845889832386233e+75,11,fullbip,0.0,0.5050505050505051
47,50,7.689327931765797e+76,4.504735221326586e+76,0.0,0.0,0,0.0,0,4.504735221326586e+76,11,fullbip,0.0,0.5050505050505051
48,51,0.0,1.115254313063623e+78,0.0,0.0,0,0.0,0,1.115254313063623e+78,11,fullbip,0.0,0.5050505050505051
49,52,4.620990343609253e+79,2.7068963950524415e+79,0.0,0.0,0,0.0,0,2.7068963950524415e+79,11,fullbip,0.0,0.5050505050505051
50,53,0.0,6.438358492520388e+80,0.0,0.0,0,0.0,0,6.438358492520388e+80,11,fullbip,0.0,0.5050505050505051
51,54,2.5631093105885993e+82,1.4999954175896264e+82,0.0,0.0,0,0.0,0,1.4999954175896264e+82,11,fullbip,0.0,0.5050505050505051
52,55,0.0,3.4214771508655946e+83,0.0,0.0,0,0.0,0,3.4214771508655946e+83,11,fullbip,0.0,0.5050505050505051
53,56,1.3074603672548915e+85,7.637225783182132e+84,0.0,0.0,0,0.0,0,7.637225783182132e+84,11,fullbip,0.0,0.5050505050505051
54,57,0.0,1.6673865257629604e+86,0.0,0.0,0,0.0,0,1.6673865257629604e+86,11,fullbip,0.0,0.5050505050505051
