,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,32,30.78,72.96000000000002,32.500020113058724,6759,39.49901389326019,6715,32.500020113058724,0,sbm,0.4,0.3
1,1,4,103,117.7335,372.09600000000006,116.40737004613736,6339,137.67614959831778,6340,116.40737004613736,0,sbm,0.4,0.3
2,2,5,374,452.0966399999999,1905.1315200000004,475.626741204701,6198,528.3455702121947,6092,475.626741204701,0,sbm,0.4,0.3
3,3,6,1325,1695.3623999999998,9525.657600000004,1833.4802791798693,5503,2033.569313802596,5534,1833.4802791798693,0,sbm,0.4,0.3
4,4,7,4522,6103.304639999999,45723.15648000001,6678.423992804167,4514,7291.1849033162,4599,6678.423992804167,0,sbm,0.4,0.3
5,5,8,14574,20827.527083999998,208040.3619840001,24292.235406690743,3535,24481.447545851493,3430,24292.235406690743,0,sbm,0.4,0.3
6,6,9,43550,66648.08666879998,887638.8777984004,72762.46614375954,2313,80708.62723048773,2449,72762.46614375954,0,sbm,0.4,0.3
7,7,10,119429,197944.8174063359,3515049.956081666,203703.3468525522,1385,217818.57277346097,1492,203703.3468525522,0,sbm,0.4,0.3
8,8,11,296581,539849.5020172797,12781999.840296969,538587.3452488689,790,556307.1182896462,794,538587.3452488689,0,sbm,0.4,0.3
9,9,12,656893,1336127.5174927674,42180599.47297999,1337857.6746684527,416,991699.3782218712,338,1337857.6746684527,0,sbm,0.4,0.3
10,10,13,1275721,2960036.3464455158,124595001.52018708,2530942.126702239,162,2123627.077131277,147,2530942.126702239,0,sbm,0.4,0.3
11,11,14,2128103,5772070.875568755,323947003.9524864,4355072.840901388,61,2679106.394776113,47,4355072.840901388,0,sbm,0.4,0.3
12,12,15,2972068,9697079.070955507,725641288.8535696,6459237.44920452,19,5126180.6054242095,17,6459237.44920452,0,sbm,0.4,0.3
13,13,16,3353573,13636517.443531182,1360577416.600443,3495126.0402921005,4,5086637.49558366,5,3495126.0402921005,0,sbm,0.4,0.3
14,14,17,2902049,15401243.230341095,2048869521.4689023,18256649.476175595,2,6287578.556837665,1,18256649.476175595,0,sbm,0.4,0.3
15,15,18,1748513,13091056.745789934,2322052124.331423,0.0,0,0.0,0,13091056.745789934,0,sbm,0.4,0.3
16,16,19,562660,7441232.255501647,1759871083.7038157,0.0,0,0.0,0,7441232.255501647,0,sbm,0.4,0.3
17,17,20,0,2120751.192817969,668751011.8074499,0.0,0,0.0,0,2120751.192817969,0,sbm,0.4,0.3
0,0,3,36,39.61130193905817,72.96000000000002,34.75128260726101,6004,40.36042717868802,6049,34.75128260726101,1,sbm,0.4,0.3263157894736842
