,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,83,35.91836734693877,0.0,72.41853768407319,11624,,11623,72.41853768407319,43,november17,0.0,0.2857142857142857
1,4,318,146.23906705539355,0.0,299.2676975378546,9638,,9660,299.2676975378546,43,november17,0.0,0.2857142857142857
2,5,1260,601.6693044564763,0.0,1317.3050756833247,7771,,7837,1317.3050756833247,43,november17,0.0,0.2857142857142857
3,6,4899,2435.328137085737,0.0,5897.316640444821,6177,,6052,5897.316640444821,43,november17,0.0,0.2857142857142857
4,7,17807,9542.510251437989,0.0,23858.876673668983,4409,,4404,23858.876673668983,43,november17,0.0,0.2857142857142857
5,8,58905,35784.41344289246,0.0,85115.59350606886,2800,,2746,85115.59350606886,43,november17,0.0,0.2857142857142857
6,9,173552,127233.47001917318,0.0,256374.07583550073,1489,,1459,256374.07583550073,43,november17,0.0,0.2857142857142857
7,10,446719,425323.3140640932,0.0,629344.4939559043,689,,720,629344.4939559043,43,november17,0.0,0.2857142857142857
8,11,983732,1325683.0568231477,0.0,1408690.2459633565,278,,342,1408690.2459633565,43,november17,0.0,0.2857142857142857
9,12,1815071,3819229.758942878,0.0,2688335.7107647355,94,,121,2688335.7107647355,43,november17,0.0,0.2857142857142857
10,13,2741698,10072693.869739456,0.0,3348986.6728575835,24,,29,3348986.6728575835,43,november17,0.0,0.2857142857142857
11,14,3275954,24051126.178765636,0.0,4093983.347519167,7,,3,4093983.347519167,43,november17,0.0,0.2857142857142857
12,15,2917036,51309069.1813667,0.0,0.0,0,,3,51309069.1813667,43,november17,0.0,0.2857142857142857
13,16,1724264,96204504.71506256,0.0,0.0,0,,1,96204504.71506256,43,november17,0.0,0.2857142857142857
14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,43,november17,0.0,0.2857142857142857
15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,43,november17,0.0,0.2857142857142857
16,19,0,226745617.98731938,0.0,0.0,0,0.0,0,226745617.98731938,43,november17,0.0,0.2857142857142857
17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,43,november17,0.0,0.2857142857142857
18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,43,november17,0.0,0.2857142857142857
19,22,0,27404188.126747314,0.0,0.0,0,0.0,0,27404188.126747314,43,november17,0.0,0.2857142857142857
