,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,83,35.91836734693877,0.0,73.58172886443056,11779,,11547,73.58172886443056,14,november17,0.0,0.2857142857142857
1,4,318,146.23906705539355,0.0,301.1834501174711,9653,,9619,301.1834501174711,14,november17,0.0,0.2857142857142857
2,5,1260,601.6693044564763,0.0,1351.635966138743,7903,,7774,1351.635966138743,14,november17,0.0,0.2857142857142857
3,6,4899,2435.328137085737,0.0,5951.150460309783,6126,,5961,5951.150460309783,14,november17,0.0,0.2857142857142857
4,7,17807,9542.510251437989,0.0,23214.31371134713,4236,,4296,23214.31371134713,14,november17,0.0,0.2857142857142857
5,8,58905,35784.41344289246,0.0,81842.09681804839,2693,,2774,81842.09681804839,14,november17,0.0,0.2857142857142857
6,9,173552,127233.47001917318,0.0,250228.74165085767,1448,,1622,250228.74165085767,14,november17,0.0,0.2857142857142857
7,10,446719,425323.3140640932,0.0,670987.8932721041,720,,847,670987.8932721041,14,november17,0.0,0.2857142857142857
8,11,983732,1325683.0568231477,0.0,1424956.652340551,295,,382,1424956.652340551,14,november17,0.0,0.2857142857142857
9,12,1815071,3819229.758942878,0.0,2333940.756252728,102,,139,2333940.756252728,14,november17,0.0,0.2857142857142857
10,13,2741698,10072693.869739456,0.0,4674462.402253455,35,,32,4674462.402253455,14,november17,0.0,0.2857142857142857
11,14,3275954,24051126.178765636,0.0,5921713.334246888,10,,7,5921713.334246888,14,november17,0.0,0.2857142857142857
12,15,2917036,51309069.1813667,0.0,0.0,0,0.0,0,51309069.1813667,14,november17,0.0,0.2857142857142857
13,16,1724264,96204504.71506256,0.0,0.0,0,0.0,0,96204504.71506256,14,november17,0.0,0.2857142857142857
14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,14,november17,0.0,0.2857142857142857
15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,14,november17,0.0,0.2857142857142857
16,19,0,226745617.98731938,0.0,0.0,0,0.0,0,226745617.98731938,14,november17,0.0,0.2857142857142857
17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,14,november17,0.0,0.2857142857142857
18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,14,november17,0.0,0.2857142857142857
19,22,0,27404188.126747314,0.0,0.0,0,0.0,0,27404188.126747314,14,november17,0.0,0.2857142857142857
