,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,24,35.90027700831025,1.1400000000000003,24.51581617748295,4634,17.56425901606294,4559,24.51581617748295,49,sbm,0.1,0.3157894736842105
1,4,119,144.5458521650386,1.4535000000000002,138.2702139356607,7515,119.3573726840796,7362,138.2702139356607,49,sbm,0.1,0.3157894736842105
2,5,414,584.2695498039454,1.8604800000000004,507.1825521441647,6684,512.9423204178788,6673,507.1825521441647,49,sbm,0.1,0.3157894736842105
3,6,1612,2306.327170278732,2.325600000000001,2109.1381739027693,6530,2372.0904238775174,6603,2109.1381739027693,49,sbm,0.1,0.3157894736842105
4,7,5561,8739.766118950984,2.7907200000000008,7715.364792278237,5236,9257.761162411201,5194,7715.364792278237,49,sbm,0.1,0.3157894736842105
5,8,18808,31394.159874652876,3.1744440000000016,26520.235318151193,3951,35480.62765519293,4060,26520.235318151193,49,sbm,0.1,0.3157894736842105
6,9,58992,105748.7490514623,3.3860736000000013,85981.09642595478,2768,121018.40596068035,2874,85981.09642595478,49,sbm,0.1,0.3157894736842105
7,10,173677,330603.9838766769,3.352212864000002,256675.13327255563,1770,371704.4386101569,1763,256675.13327255563,49,sbm,0.1,0.3157894736842105
8,11,468811,949102.3460574455,3.0474662400000017,690166.669585425,1008,1115502.659355095,1072,690166.669585425,49,sbm,0.1,0.3157894736842105
9,12,1149230,2472661.375254924,2.5141596480000015,1750199.0541748027,531,2334855.9444512455,470,1750199.0541748027,49,sbm,0.1,0.3157894736842105
10,13,2518826,5766206.2839952875,1.8566102016000012,3457476.8820532304,233,5667055.199125751,232,3457476.8820532304,49,sbm,0.1,0.3157894736842105
11,14,4850290,11835897.109253483,1.206796631040001,6688566.996666007,92,10757146.544082778,92,6688566.996666007,49,sbm,0.1,0.3157894736842105
12,15,8003770,20930849.62478511,0.6758061133824006,12725484.145608723,35,16966653.664539155,30,12725484.145608723,49,sbm,0.1,0.3157894736842105
13,16,10965210,30983165.56300427,0.31678411564800024,17010394.591088094,12,27526498.785384465,9,17010394.591088094,49,sbm,0.1,0.3157894736842105
14,17,11914311,36834475.46809176,0.11925990236160011,8581378.93884514,1,63010948.17770661,5,8581378.93884514,49,sbm,0.1,0.3157894736842105
15,18,9567140,32957162.260924205,0.03379030566912003,0.0,0,120601848.5759065,2,32957162.260924205,49,sbm,0.1,0.3157894736842105
16,19,4996143,19719520.909583457,0.006402373705728007,0.0,0,0.0,0,19719520.909583457,49,sbm,0.1,0.3157894736842105
17,20,1238680,5915856.272875037,0.0006082255020441607,0.0,0,0.0,0,5915856.272875037,49,sbm,0.1,0.3157894736842105
