,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,34,52.26016620498615,1.1400000000000003,33.74786119834214,5196,22.58221567970991,5173,33.74786119834214,29,sbm,0.1,0.35789473684210527
1,4,265,238.47138999854207,1.4535000000000002,289.88906137589254,10571,244.96369235006148,10784,289.88906137589254,29,sbm,0.1,0.35789473684210527
2,5,788,1092.4499887091106,1.8604800000000004,887.4360542703904,6928,869.9277170243432,7029,887.4360542703904,29,sbm,0.1,0.35789473684210527
3,6,4433,4887.276265277601,2.325600000000001,5502.552188011303,8578,5915.864764851838,8613,5502.552188011303,29,sbm,0.1,0.35789473684210527
4,7,15205,20989.565434034324,2.7907200000000008,18982.80506739173,5720,22761.87053328971,5784,18982.80506739173,29,sbm,0.1,0.35789473684210527
5,8,65269,85449.62559592395,3.1744440000000016,87438.80851282636,4952,110315.13833415351,4842,87438.80851282636,29,sbm,0.1,0.35789473684210527
6,9,218077,326207.693503036,3.3860736000000013,308201.12991010916,3134,396789.840029677,3016,308201.12991010916,29,sbm,0.1,0.35789473684210527
7,10,748404,1155805.3645591782,3.352212864000002,1053418.590583811,2055,1497259.9894847448,1968,1053418.590583811,29,sbm,0.1,0.35789473684210527
8,11,2195724,3760515.0617236416,3.0474662400000017,2974897.220504056,1032,4200531.328854508,986,2974897.220504056,29,sbm,0.1,0.35789473684210527
9,12,6012578,11103415.524352437,2.5141596480000015,8026903.28158233,508,12426798.482217623,482,8026903.28158233,29,sbm,0.1,0.35789473684210527
10,13,14303367,29345383.215778425,1.8566102016000012,16823628.834185164,196,27228727.58102084,209,16823628.834185164,29,sbm,0.1,0.35789473684210527
11,14,29965621,68266628.32302138,1.206796631040001,43058669.09580143,96,61255943.91384669,78,43058669.09580143,29,sbm,0.1,0.35789473684210527
12,15,53087316,136820695.08108708,0.6758061133824006,68902048.62557502,23,97292175.39774469,27,68902048.62557502,29,sbm,0.1,0.35789473684210527
13,16,77939863,229534718.72156054,0.31678411564800024,125666297.38630393,9,144317880.99432048,7,125666297.38630393,29,sbm,0.1,0.35789473684210527
14,17,90261448,309267831.5406289,0.11925990236160011,214835638.19038355,1,74666532.63773192,1,214835638.19038355,29,sbm,0.1,0.35789473684210527
15,18,77584383,313608432.68505883,0.03379030566912003,929812188.1698514,1,319965318.10378134,1,929812188.1698514,29,sbm,0.1,0.35789473684210527
16,19,43485001,212663003.66011748,0.006402373705728007,0.0,0,0.0,0,212663003.66011748,29,sbm,0.1,0.35789473684210527
17,20,12289197,72305421.24443993,0.0006082255020441607,0.0,0,0.0,0,72305421.24443993,29,sbm,0.1,0.35789473684210527
