,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,27,29.18825484764542,1.1400000000000003,26.070516837392365,5461,19.938361150077785,5440,26.070516837392365,39,sbm,0.1,0.29473684210526313
1,4,134,109.68638926957279,1.4535000000000002,146.7040363528268,8071,133.25951275673748,8033,146.7040363528268,39,sbm,0.1,0.29473684210526313
2,5,403,413.8063359391041,1.8604800000000004,464.729645721747,5881,512.8275625103639,6182,464.729645721747,39,sbm,0.1,0.29473684210526313
3,6,1560,1524.5496587230145,2.325600000000001,2067.3967189838095,6273,2212.879634798077,5948,2067.3967189838095,39,sbm,0.1,0.29473684210526313
4,7,4743,5392.0914245361355,2.7907200000000008,6354.85336758219,4215,8084.933402166762,4360,6354.85336758219,39,sbm,0.1,0.29473684210526313
5,8,14872,18077.69598647115,3.1744440000000016,20633.318734288707,3134,26894.60749068199,3119,20633.318734288707,39,sbm,0.1,0.29473684210526313
6,9,39375,56833.738960975956,3.3860736000000013,52140.71696269261,1854,80383.22348674943,1957,52140.71696269261,39,sbm,0.1,0.29473684210526313
7,10,98484,165834.86778928983,3.352212864000002,143196.3345314229,1166,211021.51060116768,1088,143196.3345314229,39,sbm,0.1,0.29473684210526313
8,11,211128,444342.22948326456,3.0474662400000017,296690.27952592075,556,462318.4615439091,532,296690.27952592075,39,sbm,0.1,0.29473684210526313
9,12,407289,1080453.2106382537,2.5141596480000015,507497.9800866297,238,974950.7302852109,238,507497.9800866297,39,sbm,0.1,0.29473684210526313
10,13,660196,2351626.097324393,1.8566102016000012,1020254.3004521801,106,1498407.6363582972,82,1020254.3004521801,39,sbm,0.1,0.29473684210526313
11,14,910761,4505220.523295153,1.206796631040001,1522691.9995204709,36,548277.0802445248,15,1522691.9995204709,39,sbm,0.1,0.29473684210526313
12,15,988340,7435985.032133473,0.6758061133824006,475563.834136553,7,1954154.4819032145,6,475563.834136553,39,sbm,0.1,0.29473684210526313
13,16,827822,10273400.373342298,0.31678411564800024,1698479.6368954624,2,0.0,0,1698479.6368954624,39,sbm,0.1,0.29473684210526313
14,17,480193,11399339.609306127,0.11925990236160011,0.0,0,0.0,0,11399339.609306127,39,sbm,0.1,0.29473684210526313
15,18,187415,9519448.515841607,0.03379030566912003,0.0,0,0.0,0,9519448.515841607,39,sbm,0.1,0.29473684210526313
16,19,42040,5316124.157323179,0.006402373705728007,0.0,0,0.0,0,5316124.157323179,39,sbm,0.1,0.29473684210526313
17,20,2752,1488514.76405049,0.0006082255020441607,0.0,0,0.0,0,1488514.76405049,39,sbm,0.1,0.29473684210526313
