,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,26,16.177728531855955,72.96000000000002,23.41154769949677,6060,32.66292343739414,6135,23.41154769949677,38,sbm,0.4,0.24210526315789474
1,4,72,49.9380935996501,372.09600000000006,73.9195332595489,5153,96.91607840940173,5175,73.9195332595489,38,sbm,0.4,0.24210526315789474
2,5,198,154.75552374459988,1905.1315200000004,225.00795898278471,4624,278.8378997300746,4614,225.00795898278471,38,sbm,0.4,0.24210526315789474
3,6,530,468.33908501655225,9525.657600000004,682.8265812952594,3606,789.1525307993188,3561,682.8265812952594,38,sbm,0.4,0.24210526315789474
4,7,1362,1360.6482891007201,45723.15648000001,1892.2049297644096,2918,2129.504118918028,2926,1892.2049297644096,38,sbm,0.4,0.24210526315789474
5,8,3014,3747.1537751155365,208040.3619840001,4555.084021147502,1991,4764.540738608901,1938,4555.084021147502,38,sbm,0.4,0.24210526315789474
6,9,5843,9676.860275386087,887638.8777984004,9006.280508083611,1241,9226.492804862271,1189,9006.280508083611,38,sbm,0.4,0.24210526315789474
7,10,10075,23193.90615479381,3515049.956081666,14081.084970216669,720,15981.084660107854,740,14081.084970216669,38,sbm,0.4,0.24210526315789474
8,11,15767,51048.78866605337,12781999.840296967,23808.279740575406,396,25843.385236701313,421,23808.279740575406,38,sbm,0.4,0.24210526315789474
9,12,22838,101963.23841456448,42180599.47297999,33364.71924993648,190,30601.937233109515,185,33364.71924993648,38,sbm,0.4,0.24210526315789474
10,13,29022,182295.40924644406,124595001.52018707,29545.63336414585,72,47823.5637060916,86,29545.63336414585,38,sbm,0.4,0.24210526315789474
11,14,30232,286875.40718256193,323947003.9524864,35108.67662120836,21,39432.239070864256,23,35108.67662120836,38,sbm,0.4,0.24210526315789474
12,15,24589,388942.65731698927,725641288.8535696,21703.28492277149,7,18488.80926256979,6,21703.28492277149,38,sbm,0.4,0.24210526315789474
13,16,14504,441398.73938934633,1360577416.600443,7651.341506952358,1,7675.1363262408195,1,7651.341506952358,38,sbm,0.4,0.24210526315789474
14,17,5816,402315.13583970146,2048869521.4689026,0.0,0,0.0,0,402315.13583970146,38,sbm,0.4,0.24210526315789474
15,18,1675,275974.06686547946,2322052124.331423,0.0,0,0.0,0,275974.06686547946,38,sbm,0.4,0.24210526315789474
16,19,316,126596.41405241936,1759871083.7038155,0.0,0,0.0,0,126596.41405241936,38,sbm,0.4,0.24210526315789474
17,20,0,29117.175232056452,668751011.8074499,0.0,0,0.0,0,29117.175232056452,38,sbm,0.4,0.24210526315789474
