,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,19,29.18825484764542,1.1400000000000003,18.18018555462798,3386,13.581063595597964,3316,18.18018555462798,17,sbm,0.1,0.29473684210526313
1,4,151,109.68638926957279,1.4535000000000002,161.45440286534455,9282,152.29554355043268,9491,161.45440286534455,17,sbm,0.1,0.29473684210526313
2,5,301,413.8063359391041,1.8604800000000004,346.1905346341321,4779,360.4764023591234,4708,346.1905346341321,17,sbm,0.1,0.29473684210526313
3,6,1623,1524.5496587230145,2.325600000000001,1989.3385192842807,6887,2351.0577494130644,7014,1989.3385192842807,17,sbm,0.1,0.29473684210526313
4,7,3943,5392.0914245361355,2.7907200000000008,5115.42827779913,4140,6432.52344892775,4127,5115.42827779913,17,sbm,0.1,0.29473684210526313
5,8,14656,18077.69598647115,3.1744440000000016,20045.3496193612,3771,25384.04932994106,3567,20045.3496193612,17,sbm,0.1,0.29473684210526313
6,9,34584,56833.738960975956,3.3860736000000013,44493.37830855512,2067,68681.2511875657,2205,44493.37830855512,17,sbm,0.1,0.29473684210526313
7,10,96092,165834.86778928983,3.352212864000002,131424.7487251865,1369,183305.80758587806,1281,131424.7487251865,17,sbm,0.1,0.29473684210526313
8,11,198485,444342.22948326456,3.0474662400000017,284012.9607339494,757,392676.718790533,733,284012.9607339494,17,sbm,0.1,0.29473684210526313
9,12,421900,1080453.2106382537,2.5141596480000015,545066.0905081275,323,770163.1830844634,309,545066.0905081275,17,sbm,0.1,0.29473684210526313
10,13,707036,2351626.097324393,1.8566102016000012,1022153.4338105106,161,1765164.9732226243,182,1022153.4338105106,17,sbm,0.1,0.29473684210526313
11,14,1118654,4505220.523295153,1.206796631040001,1440713.7523329286,50,1721165.6139891576,46,1440713.7523329286,17,sbm,0.1,0.29473684210526313
12,15,1441470,7435985.032133473,0.6758061133824006,2080207.412566893,21,2935417.585700468,19,2080207.412566893,17,sbm,0.1,0.29473684210526313
13,16,1579502,10273400.373342298,0.31678411564800024,1941016.6829828613,6,1160572.492808551,2,1941016.6829828613,17,sbm,0.1,0.29473684210526313
14,17,1352341,11399339.609306127,0.11925990236160011,2630084.505430318,1,0.0,0,2630084.505430318,17,sbm,0.1,0.29473684210526313
15,18,841009,9519448.515841607,0.03379030566912003,0.0,0,0.0,0,9519448.515841607,17,sbm,0.1,0.29473684210526313
16,19,303489,5316124.157323179,0.006402373705728007,0.0,0,0.0,0,5316124.157323179,17,sbm,0.1,0.29473684210526313
17,20,22697,1488514.76405049,0.0006082255020441607,0.0,0,0.0,0,1488514.76405049,17,sbm,0.1,0.29473684210526313
